394486 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365 <unfinished ...>
394486 write(8, "LOG_START_wsgi ,TS=1715880508.45"..., 38) = 38
394486 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
394486 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
394487 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 364) = 364
394486 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
394486 write(8, "PID = \n394017\n", 14) = 14
394486 write(3, "INFO:werkzeug:PID = \n394017\n", 28 <unfinished ...>
394487 write(8, "LOG_START_wsgi ,TS=1715880508.45"..., 37) = 37
394487 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
394488 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 364) = 364
394486 write(8, "TID = \n394486\n", 14) = 14
394486 write(3, "INFO:werkzeug:TID = \n394486\n", 28 <unfinished ...>
394488 write(8, "LOG_START_wsgi ,TS=1715880508.45"..., 37 <unfinished ...>
394488 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
394487 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
394487 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
394489 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 364) = 364
394488 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
394488 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
394487 write(8, "PID = \n394017\n", 14) = 14
394487 write(3, "INFO:werkzeug:PID = \n394017\n", 28) = 28
394489 write(8, "LOG_START_wsgi ,TS=1715880508.45"..., 37) = 37
394489 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
394490 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
394488 write(8, "PID = \n394017\n", 14) = 14
394488 write(3, "INFO:werkzeug:PID = \n394017\n", 28 <unfinished ...>
394487 write(8, "TID = \n394487\n", 14 <unfinished ...>
394487 write(3, "INFO:werkzeug:TID = \n394487\n", 28) = 28
394490 write(8, "LOG_START_wsgi ,TS=1715880508.46"..., 38) = 38
394491 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
394490 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
394489 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
394489 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
394492 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
394488 write(8, "TID = \n394488\n", 14) = 14
394488 write(3, "INFO:werkzeug:TID = \n394488\n", 28) = 28
394491 write(8, "LOG_START_wsgi ,TS=1715880508.46"..., 38) = 38
394486 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394491 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
394493 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
394490 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
394486 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394487 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394490 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
394494 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
394489 write(8, "PID = \n394017\n", 14) = 14
394487 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394492 write(8, "LOG_START_wsgi ,TS=1715880508.46"..., 38) = 38
394489 write(3, "INFO:werkzeug:PID = \n394017\n", 28) = 28
