394496 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461 <unfinished ...>
394496 write(8, "LOG_START_wsgi ,TS=1715880508.49"..., 38) = 38
394496 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
394496 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
394496 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
394496 write(8, "PID = \n394037\n", 14) = 14
394497 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
394496 write(3, "INFO:werkzeug:PID = \n394037\n", 28) = 28
394497 write(8, "LOG_START_wsgi ,TS=1715880508.49"..., 38) = 38
394497 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52 <unfinished ...>
394496 write(8, "TID = \n394496\n", 14 <unfinished ...>
394496 write(3, "INFO:werkzeug:TID = \n394496\n", 28 <unfinished ...>
394497 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222 <unfinished ...>
394497 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
394498 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
394497 write(8, "PID = \n394037\n", 14) = 14
394497 write(3, "INFO:werkzeug:PID = \n394037\n", 28) = 28
394497 write(8, "TID = \n394497\n", 14) = 14
394497 write(3, "INFO:werkzeug:TID = \n394497\n", 28) = 28
394498 write(8, "LOG_START_wsgi ,TS=1715880508.49"..., 38) = 38
394498 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
394499 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
394498 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
394498 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
394499 write(8, "LOG_START_wsgi ,TS=1715880508.49"..., 38) = 38
394500 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 460) = 460
394499 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52 <unfinished ...>
394496 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394496 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394497 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
394497 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394501 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 460) = 460
394498 write(8, "PID = \n394037\n", 14) = 14
394498 write(3, "INFO:werkzeug:PID = \n394037\n", 28 <unfinished ...>
394499 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
394499 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
394500 write(8, "LOG_START_wsgi ,TS=1715880508.50"..., 37) = 37
394500 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
394496 write(8, "LOG_STOP_wsgi, TS=1715880508.492"..., 37) = 37
394502 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
394496 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
394497 write(8, "LOG_STOP_wsgi, TS=1715880508.494"..., 37) = 37
394496 write(1, "#*# REQ_SEND\n", 13 <unfinished ...>
394497 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
394496 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
394501 write(8, "LOG_START_wsgi ,TS=1715880508.50"..., 37) = 37
394497 write(1, "#*# REQ_SEND\n", 13)   = 13
394501 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
394498 write(8, "TID = \n394498\n", 14) = 14
394503 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
394499 write(8, "PID = \n394037\n", 14) = 14
394498 write(3, "INFO:werkzeug:TID = \n394498\n", 28) = 28
394497 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
394499 write(3, "INFO:werkzeug:PID = \n394037\n", 28) = 28
394500 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
394504 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
394500 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
394502 write(8, "LOG_START_wsgi ,TS=1715880508.50"..., 38) = 38
394502 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
394505 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
394501 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
394501 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
394503 write(8, "LOG_START_wsgi ,TS=1715880508.50"..., 38) = 38
394498 write(8, "post_data_form = \nImmutableMulti"..., 41 <unfinished ...>
394503 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52 <unfinished ...>
394498 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
394499 write(8, "TID = \n394499\n", 14) = 14
394499 write(3, "INFO:werkzeug:TID = \n394499\n", 28) = 28
