,time,UID,PID,Command,%usr,%system,%guest,%wait,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,StkSize,StkRef,kB_rd/s,kB_wr/s,kB_ccwr/s,iodelay,cswch/s,nvcswch/s,threads,fd-nr
0,10:56:52 PM,0,394017,python3,45.00,5.00,0.00,0.00,50.00,1,12689.00,0.00,209724,51532,0.08,132,100,0.00,8.00,0.00,0,34.00,12.00,3,10
1,10:56:53 PM,0,394017,python3,4.00,1.00,0.00,0.00,5.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
2,10:56:54 PM,0,394017,python3,2.00,2.00,0.00,0.00,4.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
3,10:56:55 PM,0,394017,python3,3.00,1.00,0.00,0.00,4.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,3.00,3,10
4,10:56:56 PM,0,394017,python3,3.00,1.00,0.00,0.00,4.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
5,10:56:57 PM,0,394017,python3,4.00,1.00,0.00,0.00,5.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,3.00,3,10
6,10:56:58 PM,0,394017,python3,2.00,1.00,0.00,0.00,3.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
7,10:56:59 PM,0,394017,python3,3.00,1.00,0.00,0.00,4.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
8,10:57:00 PM,0,394017,python3,4.00,1.00,0.00,0.00,5.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
9,10:57:01 PM,0,394017,python3,2.00,1.00,0.00,0.00,3.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
10,10:57:02 PM,0,394017,python3,3.00,2.00,0.00,0.00,5.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
11,10:57:03 PM,0,394017,python3,2.00,1.00,0.00,0.00,3.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
12,10:57:04 PM,0,394017,python3,1.00,0.00,0.00,0.00,1.00,1,0.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,0.00,0.00,3,10
13,10:57:05 PM,0,394017,python3,2.00,1.00,0.00,0.00,3.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
14,10:57:06 PM,0,394017,python3,4.00,1.00,0.00,0.00,5.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
15,10:57:07 PM,0,394017,python3,3.00,1.00,0.00,0.00,4.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
16,10:57:08 PM,0,394017,python3,3.00,1.00,0.00,0.00,4.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
17,10:57:09 PM,0,394017,python3,3.00,1.00,0.00,0.00,4.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
18,10:57:10 PM,0,394017,python3,3.00,1.00,0.00,0.00,4.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
19,10:57:11 PM,0,394017,python3,3.00,1.00,0.00,0.00,4.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
20,10:57:12 PM,0,394017,python3,2.00,2.00,0.00,0.00,4.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
21,10:57:13 PM,0,394017,python3,4.00,0.00,0.00,0.00,4.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
22,10:57:14 PM,0,394017,python3,3.00,1.00,0.00,0.00,4.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
23,10:57:15 PM,0,394017,python3,3.00,1.00,0.00,0.00,4.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
24,10:57:16 PM,0,394017,python3,4.00,0.00,0.00,0.00,4.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
25,10:57:17 PM,0,394017,python3,3.00,1.00,0.00,0.00,4.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,3.00,3,10
26,10:57:18 PM,0,394017,python3,3.00,1.00,0.00,0.00,4.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,4.00,3,10
27,10:57:19 PM,0,394017,python3,3.00,1.00,0.00,0.00,4.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
28,10:57:20 PM,0,394017,python3,4.00,0.00,0.00,0.00,4.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
29,10:57:21 PM,0,394017,python3,2.00,2.00,0.00,0.00,4.00,1,128.00,0.00,209724,51532,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
