,time,UID,PID,Command,%usr,%system,%guest,%wait,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,StkSize,StkRef,kB_rd/s,kB_wr/s,kB_ccwr/s,iodelay,cswch/s,nvcswch/s,threads,fd-nr
0,10:56:52 PM,0,394037,python3,41.00,2.00,0.00,0.00,43.00,3,11849.00,0.00,208648,50400,0.08,132,104,0.00,8.00,0.00,0,34.00,8.00,3,10
1,10:56:53 PM,0,394037,python3,0.00,1.00,0.00,0.00,1.00,3,17.00,0.00,208648,50400,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
2,10:56:54 PM,0,394037,python3,1.00,0.00,0.00,0.00,1.00,3,17.00,0.00,208648,50400,0.08,132,104,0.00,0.00,0.00,0,1.00,1.00,3,10
3,10:56:55 PM,0,394037,python3,0.00,0.00,0.00,0.00,0.00,3,17.00,0.00,208648,50400,0.08,132,104,0.00,0.00,0.00,0,1.00,1.00,3,10
4,10:56:56 PM,0,394037,python3,0.00,1.00,0.00,0.00,1.00,3,17.00,0.00,208648,50400,0.08,132,104,0.00,0.00,0.00,0,1.00,1.00,3,10
5,10:56:57 PM,0,394037,python3,0.00,1.00,0.00,0.00,1.00,3,17.00,0.00,208648,50400,0.08,132,104,0.00,0.00,0.00,0,1.00,1.00,3,10
6,10:56:58 PM,0,394037,python3,1.00,0.00,0.00,0.00,1.00,3,17.00,0.00,208648,50400,0.08,132,104,0.00,0.00,0.00,0,1.00,1.00,3,10
7,10:56:59 PM,0,394037,python3,0.00,0.00,0.00,0.00,0.00,3,17.00,0.00,208648,50400,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
8,10:57:00 PM,0,394037,python3,1.00,0.00,0.00,0.00,1.00,3,17.00,0.00,208648,50400,0.08,132,104,0.00,0.00,0.00,0,1.00,1.00,3,10
9,10:57:01 PM,0,394037,python3,0.00,0.00,0.00,0.00,0.00,3,17.00,0.00,208648,50400,0.08,132,104,0.00,0.00,0.00,0,1.00,1.00,3,10
10,10:57:02 PM,0,394037,python3,1.00,0.00,0.00,0.00,1.00,3,18.00,0.00,208648,50400,0.08,132,104,0.00,0.00,0.00,0,1.00,1.00,3,10
11,10:57:03 PM,0,394037,python3,1.00,1.00,0.00,0.00,2.00,3,17.00,0.00,208648,50400,0.08,132,104,0.00,0.00,0.00,0,1.00,1.00,3,10
12,10:57:04 PM,0,394037,python3,0.00,0.00,0.00,0.00,0.00,3,17.00,0.00,208648,50400,0.08,132,104,0.00,0.00,0.00,0,1.00,1.00,3,10
13,10:57:05 PM,0,394037,python3,0.00,0.00,0.00,0.00,0.00,3,17.00,0.00,208648,50400,0.08,132,104,0.00,0.00,0.00,0,1.00,1.00,3,10
14,10:57:06 PM,0,394037,python3,1.00,0.00,0.00,0.00,1.00,3,17.00,0.00,208648,50400,0.08,132,104,0.00,0.00,0.00,0,1.00,1.00,3,10
15,10:57:07 PM,0,394037,python3,0.00,1.00,0.00,0.00,1.00,3,17.00,0.00,208648,50400,0.08,132,104,0.00,0.00,0.00,0,1.00,1.00,3,10
16,10:57:08 PM,0,394037,python3,1.00,0.00,0.00,0.00,1.00,3,17.00,0.00,208648,50400,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
17,10:57:09 PM,0,394037,python3,0.00,0.00,0.00,0.00,0.00,3,17.00,0.00,208648,50400,0.08,132,104,0.00,0.00,0.00,0,1.00,1.00,3,10
18,10:57:10 PM,0,394037,python3,1.00,0.00,0.00,0.00,1.00,3,17.00,0.00,208648,50400,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
