,timestamp,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle,proc/s,cswch/s,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,kbanonpg,kbslab,kbkstack,kbpgtbl,kbvmused,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,total/s,dropd/s,squeezd/s,rx_rps/s,flw_lim/s,MHz
0,10:56:51 PM,1.0,15.66,0.0,2.71,0.0,0.0,0.0,0.0,0.0,0.0,81.63,44.74,97344.44,36.64,0.0,36.64,0.0,0.0,735.14,0.0,43238328.0,55838880.0,7968560.0,12.2,85124.0,9811936.0,11362536.0,10.6,11066204.0,4846444.0,52.0,6034368.0,4189876.0,25200.0,60432.0,65308.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,11.58,11.23,11.14,0.0,22.22,0.0,0.0,0.0,0.0,2700.0
0,10:56:55 PM,1.0,2.93,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,95.85,4.38,96633.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43238224.0,55838916.0,7968392.0,12.2,85124.0,9812104.0,11399956.0,10.63,11065332.0,4846584.0,284.0,6033348.0,4189980.0,25200.0,60432.0,65340.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,11.93,11.31,11.16,0.0,10.46,0.0,0.0,0.0,0.0,2700.0
0,10:56:59 PM,1.0,2.92,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,95.62,0.0,96476.21,0.49,0.0,0.49,0.0,0.0,124.51,0.0,43237908.0,55838716.0,7968524.0,12.2,85124.0,9812288.0,11399956.0,10.63,11065784.0,4846700.0,472.0,6034148.0,4189980.0,25200.0,60432.0,65340.0,41943032.0,0.0,0.0,0.0,0.0,3.0,1552.0,11.93,11.31,11.16,0.0,15.29,0.0,0.0,0.0,0.0,2700.0
0,10:57:03 PM,1.0,3.32,0.0,0.95,0.0,0.0,0.0,0.24,0.0,0.0,95.5,0.71,66986.46,3.09,0.0,3.09,0.0,0.0,285.99,0.0,43238844.0,55839768.0,7967400.0,12.2,85124.0,9812444.0,11400640.0,10.63,11065468.0,4846816.0,636.0,6033688.0,4190012.0,25200.0,60432.0,65324.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,12.34,11.4,11.19,0.0,13.54,0.0,0.0,0.0,0.0,2699.97
0,10:57:07 PM,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,50271.82,1.0,0.0,1.0,0.0,0.0,259.35,0.0,43238592.0,55839764.0,7967468.0,12.2,85124.0,9812628.0,11400640.0,10.63,11064936.0,4847064.0,820.0,6033152.0,4190012.0,25200.0,60432.0,65324.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,12.63,11.48,11.22,0.0,15.71,0.0,0.0,0.0,0.0,2700.0
0,10:57:11 PM,1.0,3.24,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,95.51,1.74,50158.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43238088.0,55839396.0,7967800.0,12.2,85124.0,9812804.0,11391720.0,10.62,11065328.0,4847200.0,996.0,6033536.0,4190008.0,25200.0,60432.0,65260.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,12.9,11.56,11.25,0.0,14.68,0.0,0.0,0.0,0.0,2700.0
0,10:57:15 PM,1.0,3.48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,95.52,0.0,50336.41,9.73,0.0,9.73,0.0,0.0,835.91,0.0,43238492.0,55840024.0,7967220.0,12.2,85124.0,9812980.0,11391720.0,10.62,11064736.0,4847424.0,24.0,6032932.0,4190008.0,25200.0,60432.0,65260.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,13.15,11.63,11.27,0.0,17.96,0.0,0.0,0.0,0.0,2700.0
0,10:57:19 PM,1.0,2.99,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,95.76,0.25,50420.7,2.0,0.0,2.0,0.0,0.0,518.7,0.0,43219456.0,55838196.0,7969004.0,12.2,85124.0,9830212.0,11391720.0,10.62,11084944.0,4847628.0,17340.0,6035584.0,4190028.0,25200.0,60432.0,65244.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,13.46,11.72,11.3,0.0,24.19,0.0,0.0,0.0,0.0,2700.0
0,10:57:23 PM,1.0,2.24,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,96.01,1.0,55661.85,33.17,16.21,16.96,0.0,562.59,8925.69,0.0,43291228.0,55893152.0,7914152.0,12.12,85124.0,9813324.0,11323656.0,10.56,11026920.0,4847828.0,508.0,5995144.0,4189996.0,25168.0,60304.0,65180.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1550.0,13.46,11.72,11.3,0.0,17.96,0.0,0.0,0.0,0.0,2699.85
0,10:57:27 PM,1.0,3.41,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,95.45,3.85,73736.73,167.12,166.89,0.23,0.0,39965.53,116.1,0.0,43275784.0,55877776.0,7929408.0,12.14,85124.0,9813452.0,11367896.0,10.6,11036976.0,4847892.0,856.0,6005084.0,4190056.0,25280.0,60644.0,65212.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1559.0,13.66,11.79,11.33,0.0,17.69,0.0,0.0,0.0,0.0,2699.99
