,timestamp,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle,proc/s,cswch/s,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,kbanonpg,kbslab,kbkstack,kbpgtbl,kbvmused,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,total/s,dropd/s,squeezd/s,rx_rps/s,flw_lim/s,MHz
0,10:56:51 PM,2.0,12.78,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,86.36,39.49,97433.24,34.66,0.0,34.66,0.0,0.0,695.45,0.0,43238328.0,55838880.0,7968552.0,12.2,85124.0,9811944.0,11362536.0,10.6,11066204.0,4846444.0,64.0,6034408.0,4189876.0,25200.0,60432.0,65308.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,11.58,11.23,11.14,0.0,1.99,0.0,0.0,0.0,0.0,2699.95
0,10:56:55 PM,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,4.38,96656.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43238224.0,55838932.0,7968376.0,12.2,85124.0,9812120.0,11399956.0,10.63,11065404.0,4846600.0,304.0,6033588.0,4189980.0,25200.0,60432.0,65340.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,11.93,11.31,11.16,0.0,0.97,0.0,0.0,0.0,0.0,2699.92
0,10:56:59 PM,2.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.76,0.0,96473.06,0.49,0.0,0.49,0.0,0.0,124.51,0.0,43238664.0,55839472.0,7967760.0,12.2,85124.0,9812296.0,11399956.0,10.63,11064896.0,4846700.0,480.0,6033104.0,4189980.0,25200.0,60432.0,65340.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,11.93,11.31,11.16,0.0,2.43,0.0,0.0,0.0,0.0,2700.0
0,10:57:03 PM,2.0,0.24,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,99.53,0.71,64748.22,3.09,0.0,3.09,0.0,0.0,285.99,0.0,43238844.0,55839768.0,7967392.0,12.2,85124.0,9812452.0,11400640.0,10.63,11065468.0,4846816.0,644.0,6033692.0,4190012.0,25200.0,60432.0,65324.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,12.34,11.4,11.19,0.0,1.19,0.0,0.0,0.0,0.0,2699.94
0,10:57:07 PM,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,50274.31,1.0,0.0,1.0,0.0,0.0,259.35,0.0,43238592.0,55839764.0,7967460.0,12.2,85124.0,9812636.0,11400640.0,10.63,11064936.0,4847064.0,828.0,6033152.0,4190012.0,25200.0,60432.0,65324.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,12.63,11.48,11.22,0.0,0.5,0.0,0.0,0.0,0.0,2700.66
0,10:57:11 PM,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.74,50176.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43238088.0,55839396.0,7967792.0,12.2,85124.0,9812812.0,11391720.0,10.62,11065448.0,4847200.0,1004.0,6033640.0,4190008.0,25200.0,60432.0,65260.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,12.9,11.56,11.25,0.0,1.24,0.0,0.0,0.0,0.0,2700.0
0,10:57:15 PM,2.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,99.75,0.0,50359.35,10.22,0.0,10.22,0.0,0.0,965.59,0.0,43238492.0,55840032.0,7967220.0,12.2,85124.0,9812980.0,11391720.0,10.62,11064924.0,4847432.0,24.0,6033040.0,4190008.0,25200.0,60432.0,65260.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,13.15,11.63,11.27,0.0,1.0,0.0,0.0,0.0,0.0,2700.0
0,10:57:19 PM,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.25,50394.51,1.5,0.0,1.5,0.0,0.0,389.03,0.0,43219456.0,55838196.0,7969004.0,12.2,85124.0,9830212.0,11391720.0,10.62,11084944.0,4847628.0,17340.0,6035596.0,4190028.0,25200.0,60432.0,65244.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,13.46,11.72,11.3,0.0,2.49,0.0,0.0,0.0,0.0,2700.11
0,10:57:23 PM,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,99.5,1.0,57159.1,41.65,24.69,16.96,0.0,750.12,8925.69,0.0,43291220.0,55893144.0,7914144.0,12.12,85124.0,9813332.0,11323656.0,10.56,11026920.0,4847828.0,528.0,5995012.0,4190004.0,25168.0,60304.0,65180.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1550.0,13.46,11.72,11.3,0.0,1.0,0.0,0.0,0.0,0.0,2699.97
0,10:57:27 PM,2.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.77,3.85,72232.13,159.05,158.82,0.23,0.0,39704.98,115.84,0.0,43274696.0,55876716.0,7930440.0,12.15,85124.0,9813460.0,11367896.0,10.6,11036620.0,4847920.0,864.0,6004636.0,4190104.0,25296.0,60832.0,65212.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1559.0,13.66,11.79,11.33,0.0,1.13,0.0,0.0,0.0,0.0,2700.0
0,10:57:32 PM,2.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,99.75,3.74,72320.95,15.21,0.0,15.21,0.0,0.0,484.29,0.0,43275052.0,55877212.0,7929936.0,12.15,85124.0,9813616.0,11359332.0,10.59,11037248.0,4848060.0,1028.0,6005868.0,4190096.0,25248.0,60452.0,65228.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1557.0,13.85,11.86,11.35,0.0,10.47,0.0,0.0,0.0,0.0,2700.0
0,10:57:36 PM,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,4.49,116168.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43272336.0,55874732.0,7932528.0,12.15,85124.0,9813836.0,11370744.0,10.6,11037876.0,4848300.0,1612.0,6005988.0,4190000.0,25280.0,60504.0,65292.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1557.0,14.1,11.95,11.39,0.0,8.73,0.0,0.0,0.0,0.0,2700.0
0,10:57:40 PM,2.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,99.75,4.24,116451.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43269996.0,55872588.0,7934652.0,12.15,85124.0,9814004.0,11383528.0,10.62,11037376.0,4848496.0,1780.0,6005624.0,4190048.0,25200.0,60492.0,65308.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1555.0,14.26,12.01,11.41,0.0,24.19,0.0,0.0,0.0,0.0,2699.92
