,timestamp,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle,proc/s,cswch/s,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,kbanonpg,kbslab,kbkstack,kbpgtbl,kbvmused,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,total/s,dropd/s,squeezd/s,rx_rps/s,flw_lim/s,MHz
0,10:56:51 PM,3.0,11.29,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,87.66,33.77,97228.27,31.94,0.0,31.94,0.0,0.0,640.84,0.0,43238328.0,55838880.0,7968552.0,12.2,85124.0,9811944.0,11362536.0,10.6,11066608.0,4846444.0,64.0,6034208.0,4189876.0,25200.0,60432.0,65308.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,11.58,11.23,11.14,0.0,0.0,0.0,0.0,0.0,0.0,2699.88
0,10:56:55 PM,3.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,99.0,4.48,96453.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43238224.0,55838932.0,7968376.0,12.2,85124.0,9812120.0,11399956.0,10.63,11065404.0,4846600.0,304.0,6033388.0,4189980.0,25200.0,60432.0,65340.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,11.93,11.31,11.16,0.0,0.0,0.0,0.0,0.0,0.0,2690.68
0,10:56:59 PM,3.0,0.73,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,99.02,0.0,96667.64,0.49,0.0,0.49,0.0,0.0,124.82,0.0,43238664.0,55839472.0,7967752.0,12.2,85124.0,9812304.0,11399956.0,10.63,11064896.0,4846700.0,488.0,6033108.0,4189980.0,25200.0,60432.0,65340.0,41943032.0,0.0,0.0,0.0,0.0,2.0,1552.0,12.34,11.4,11.19,0.0,0.0,0.0,0.0,0.0,0.0,2710.54
0,10:57:03 PM,3.0,0.24,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,99.52,0.71,62542.99,3.09,0.0,3.09,0.0,0.0,285.99,0.0,43238592.0,55839516.0,7967628.0,12.2,85124.0,9812468.0,11400640.0,10.63,11065872.0,4846816.0,660.0,6033596.0,4190012.0,25200.0,60432.0,65324.0,41943032.0,0.0,0.0,0.0,0.0,2.0,1552.0,12.34,11.4,11.19,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:57:07 PM,3.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,50329.68,1.0,0.0,1.0,0.0,0.0,259.35,0.0,43238896.0,55840068.0,7967148.0,12.2,85124.0,9812644.0,11400640.0,10.63,11064728.0,4847064.0,836.0,6032612.0,4190012.0,25200.0,60432.0,65324.0,41943032.0,0.0,0.0,0.0,0.0,2.0,1552.0,12.63,11.48,11.22,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:57:11 PM,3.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,99.25,1.74,50151.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43237836.0,55839144.0,7968036.0,12.2,85124.0,9812820.0,11391720.0,10.62,11065448.0,4847200.0,1012.0,6033704.0,4190008.0,25200.0,60432.0,65260.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,12.9,11.56,11.25,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:57:15 PM,3.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,50442.64,10.72,0.0,10.72,0.0,0.0,1095.26,0.0,43237988.0,55839560.0,7967716.0,12.2,85124.0,9812984.0,11391720.0,10.62,11065440.0,4847464.0,48.0,6033644.0,4190012.0,25200.0,60432.0,65260.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,13.15,11.63,11.27,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:57:19 PM,3.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,99.75,0.25,50339.15,1.0,0.0,1.0,0.0,0.0,259.35,0.0,43218952.0,55837692.0,7969500.0,12.21,85124.0,9830220.0,11391720.0,10.62,11085544.0,4847628.0,17348.0,6036120.0,4190028.0,25200.0,60432.0,65244.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,13.46,11.72,11.3,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:57:23 PM,3.0,0.25,8.96,1.24,4.73,0.0,0.0,0.0,0.0,0.0,84.83,1.0,58338.4,50.37,33.42,16.96,0.0,2984.54,8925.69,0.0,43290300.0,55892176.0,7914908.0,12.12,85124.0,9813488.0,11323656.0,10.56,11027672.0,4847784.0,556.0,5995632.0,4190004.0,25168.0,60304.0,65180.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1550.0,13.46,11.72,11.3,0.0,0.0,0.0,0.0,0.0,0.0,2699.62
0,10:57:27 PM,3.0,14.81,1.14,5.24,0.0,0.0,0.0,0.0,0.0,0.0,78.82,3.85,71107.01,151.13,150.9,0.23,0.0,37677.83,115.84,0.0,43274696.0,55876716.0,7930440.0,12.15,85124.0,9813460.0,11367896.0,10.6,11036620.0,4847920.0,864.0,6004668.0,4190104.0,25296.0,60832.0,65212.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1559.0,13.66,11.79,11.33,0.0,0.0,0.0,0.0,0.0,0.0,2699.85
0,10:57:32 PM,3.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,99.25,3.74,72323.44,15.21,0.0,15.21,0.0,0.0,484.29,0.0,43274532.0,55876700.0,7930408.0,12.15,85124.0,9813664.0,11359332.0,10.59,11037752.0,4848068.0,1440.0,6006000.0,4190096.0,25280.0,60504.0,65228.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1557.0,13.85,11.86,11.35,0.0,0.0,0.0,0.0,0.0,0.0,2699.96
0,10:57:36 PM,3.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,99.25,4.49,116164.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43272344.0,55874740.0,7932512.0,12.15,85124.0,9813844.0,11370744.0,10.6,11037876.0,4848300.0,1620.0,6005992.0,4190000.0,25280.0,60504.0,65292.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1557.0,14.1,11.95,11.39,0.0,0.0,0.0,0.0,0.0,0.0,2699.96
0,10:57:40 PM,3.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,99.25,4.24,123909.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43269484.0,55872076.0,7935148.0,12.15,85124.0,9814020.0,11383528.0,10.62,11037396.0,4848496.0,1796.0,6005608.0,4190048.0,25248.0,60540.0,65308.0,41943032.0,0.0,0.0,0.0,0.0,2.0,1555.0,14.26,12.01,11.41,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:57:44 PM,3.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,99.0,6.73,131095.76,75.06,0.0,75.06,0.0,0.0,1629.93,0.0,43267404.0,55870168.0,7937000.0,12.16,85124.0,9814200.0,11385836.0,10.62,11037188.0,4848668.0,260.0,6005552.0,4190096.0,25280.0,60576.0,65292.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1557.0,14.26,12.01,11.41,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:57:48 PM,3.0,0.73,0.0,3.17,0.0,0.0,0.0,0.0,0.0,0.0,96.1,1.21,122406.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43266412.0,55869348.0,7937800.0,12.16,85124.0,9814392.0,11385836.0,10.62,11037352.0,4848840.0,460.0,6005600.0,4190096.0,25248.0,60536.0,65292.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1555.0,14.4,12.08,11.43,0.0,0.0,0.0,0.0,0.0,0.0,2699.99
0,10:57:52 PM,3.0,0.97,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,97.34,5.94,151117.1,0.48,0.0,0.48,0.0,0.0,123.52,0.0,43264804.0,55868020.0,7938980.0,12.16,85124.0,9814716.0,11390916.0,10.62,11038092.0,4849120.0,1024.0,6006276.0,4190200.0,25264.0,60568.0,65260.0,41943032.0,0.0,0.0,0.0,0.0,2.0,1556.0,14.52,12.15,11.46,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:57:56 PM,3.0,0.76,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,94.44,8.98,130749.13,27.18,0.0,27.18,0.0,0.0,586.53,0.0,43263604.0,55867020.0,7939836.0,12.16,85124.0,9814884.0,11414620.0,10.64,11038420.0,4849336.0,24.0,6006600.0,4190376.0,25248.0,60568.0,65292.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1555.0,14.64,12.21,11.48,0.0,0.0,0.0,0.0,0.0,0.0,2700.85
0,10:58:00 PM,3.0,0.76,0.0,6.33,0.0,0.0,0.0,0.0,0.0,0.0,92.91,2.99,148964.59,0.75,0.0,0.75,0.0,0.0,12.22,0.0,43263472.0,55867024.0,7939768.0,12.16,85124.0,9815060.0,11408576.0,10.64,11039732.0,4849472.0,288.0,6008044.0,4190400.0,25296.0,60804.0,65276.0,41943032.0,0.0,0.0,0.0,0.0,3.0,1559.0,14.83,12.29,11.51,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:58:04 PM,3.0,2.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,92.5,4.73,151723.38,5.97,0.0,5.97,0.0,0.0,473.13,0.0,43260048.0,55863748.0,7942788.0,12.16,85124.0,9815224.0,11406076.0,10.64,11040700.0,4849620.0,828.0,6008976.0,4190640.0,25344.0,60868.0,65340.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1560.0,14.93,12.35,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2700.68
0,10:58:08 PM,3.0,0.91,0.0,3.42,0.0,0.0,0.0,0.0,0.0,0.0,95.66,7.48,188779.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43260456.0,55864340.0,7942060.0,12.16,85124.0,9815392.0,11397856.0,10.63,11040320.0,4849804.0,996.0,6008340.0,4190792.0,25296.0,60648.0,65340.0,41943032.0,0.0,0.0,0.0,0.0,4.0,1558.0,14.93,12.35,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:58:13 PM,3.0,0.75,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,97.99,4.74,155512.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43259084.0,55863152.0,7943208.0,12.17,85124.0,9815568.0,11406268.0,10.64,11040956.0,4849988.0,1284.0,6009136.0,4190840.0,25328.0,60720.0,65356.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1559.0,15.01,12.41,11.56,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:58:17 PM,3.0,0.75,0.0,2.49,0.0,0.0,0.0,0.0,0.0,0.0,96.77,8.98,185132.67,33.17,0.0,33.17,0.0,0.0,724.19,0.0,43257676.0,55861968.0,7944572.0,12.17,85124.0,9815752.0,11417576.0,10.65,11041784.0,4850212.0,268.0,6009940.0,4190700.0,25312.0,60696.0,65388.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1559.0,15.17,12.49,11.59,0.0,0.0,0.0,0.0,0.0,0.0,2710.34
