,timestamp,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle,proc/s,cswch/s,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,kbanonpg,kbslab,kbkstack,kbpgtbl,kbvmused,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,total/s,dropd/s,squeezd/s,rx_rps/s,flw_lim/s,MHz
0,10:56:51 PM,4.0,10.42,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,88.34,29.43,97306.98,30.42,0.0,30.42,0.0,0.0,610.47,0.0,43238328.0,55838880.0,7968552.0,12.2,85124.0,9811944.0,11362536.0,10.6,11066608.0,4846444.0,64.0,6034208.0,4189876.0,25200.0,60432.0,65308.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,11.58,11.23,11.14,0.0,0.0,0.0,0.0,0.0,0.0,2700.45
0,10:56:55 PM,4.0,0.99,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,98.51,4.48,96455.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43238224.0,55838940.0,7968368.0,12.2,85124.0,9812128.0,11399956.0,10.63,11065404.0,4846608.0,312.0,6033592.0,4189980.0,25200.0,60432.0,65340.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,11.93,11.31,11.16,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:56:59 PM,4.0,0.49,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,99.26,0.0,96676.4,0.49,0.0,0.49,0.0,0.0,124.82,0.0,43238664.0,55839480.0,7967744.0,12.2,85124.0,9812312.0,11399956.0,10.63,11064896.0,4846708.0,496.0,6033148.0,4189980.0,25200.0,60432.0,65340.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,12.34,11.4,11.19,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:57:03 PM,4.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.28,0.71,60322.57,3.09,0.0,3.09,0.0,0.0,285.99,0.0,43238592.0,55839524.0,7967620.0,12.2,85124.0,9812476.0,11400640.0,10.63,11065592.0,4846824.0,668.0,6033928.0,4190012.0,25200.0,60432.0,65324.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,12.34,11.4,11.19,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:57:08 PM,4.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,99.25,0.0,50194.03,1.0,0.0,1.0,0.0,0.0,258.71,0.0,43238896.0,55840084.0,7967140.0,12.2,85124.0,9812652.0,11400640.0,10.63,11064792.0,4847080.0,844.0,6032620.0,4190012.0,25200.0,60432.0,65324.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,12.63,11.48,11.22,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:57:12 PM,4.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,99.0,1.75,50278.55,0.5,0.0,0.5,0.0,0.0,129.68,0.0,43237836.0,55839152.0,7968024.0,12.2,85124.0,9812832.0,11391720.0,10.62,11065528.0,4847208.0,1024.0,6033748.0,4190008.0,25200.0,60432.0,65260.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,12.9,11.56,11.25,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:57:16 PM,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.25,0.0,50453.62,10.22,0.0,10.22,0.0,0.0,965.59,0.0,43237736.0,55839308.0,7967968.0,12.2,85124.0,9812984.0,11391720.0,10.62,11065620.0,4847464.0,48.0,6033792.0,4190012.0,25200.0,60432.0,65260.0,41943032.0,0.0,0.0,0.0,0.0,2.0,1552.0,13.15,11.63,11.27,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:57:20 PM,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.75,0.25,50325.69,1.0,0.0,1.0,0.0,0.0,259.35,0.0,43218700.0,55837440.0,7969752.0,12.21,85124.0,9830220.0,11391720.0,10.62,11085544.0,4847628.0,17348.0,6036152.0,4190028.0,25200.0,60432.0,65244.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,13.46,11.72,11.3,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:57:24 PM,4.0,0.49,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,99.27,0.97,59646.72,119.22,102.68,16.55,0.0,20367.88,8708.52,0.0,43287780.0,55889776.0,7917560.0,12.13,85124.0,9813356.0,11323656.0,10.56,11028868.0,4847904.0,572.0,5997096.0,4190004.0,25168.0,60304.0,65180.0,41943032.0,0.0,0.0,0.0,0.0,0.0,1550.0,13.46,11.72,11.3,1.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:57:28 PM,4.0,0.23,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,99.07,3.94,70152.55,87.96,87.73,0.23,0.0,21942.59,118.52,0.0,43274760.0,55876816.0,7930344.0,12.15,85124.0,9813492.0,11367896.0,10.6,11036804.0,4847956.0,896.0,6005128.0,4190104.0,25312.0,60544.0,65212.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1559.0,13.66,11.79,11.33,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:57:32 PM,4.0,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,98.76,3.74,72317.96,15.21,0.0,15.21,0.0,0.0,484.29,0.0,43274532.0,55876700.0,7930400.0,12.15,85124.0,9813672.0,11359332.0,10.59,11037756.0,4848068.0,1448.0,6006000.0,4190096.0,25280.0,60504.0,65228.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1557.0,13.85,11.86,11.35,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:57:36 PM,4.0,0.5,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,98.76,4.49,116202.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43272280.0,55874676.0,7932568.0,12.15,85124.0,9813852.0,11370744.0,10.6,11037876.0,4848300.0,1628.0,6006044.0,4190000.0,25280.0,60504.0,65292.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1557.0,14.1,11.95,11.39,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:57:40 PM,4.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,99.25,4.24,138416.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43269484.0,55872076.0,7935148.0,12.15,85124.0,9814020.0,11383528.0,10.62,11037456.0,4848496.0,1796.0,6005516.0,4190048.0,25248.0,60540.0,65308.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1555.0,14.26,12.01,11.41,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:57:44 PM,4.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,99.5,6.72,116277.11,74.88,0.0,74.88,0.0,0.0,1625.87,0.0,43267404.0,55870168.0,7936988.0,12.16,85124.0,9814212.0,11385836.0,10.62,11037188.0,4848668.0,276.0,6005568.0,4190096.0,25280.0,60576.0,65292.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1557.0,14.4,12.08,11.43,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:57:48 PM,4.0,0.73,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,99.02,1.22,125575.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43266412.0,55869348.0,7937800.0,12.16,85124.0,9814392.0,11385836.0,10.62,11037352.0,4848840.0,460.0,6005600.0,4190096.0,25248.0,60536.0,65292.0,41943032.0,0.0,0.0,0.0,0.0,3.0,1555.0,14.4,12.08,11.43,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:57:52 PM,4.0,0.48,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,98.81,5.94,148347.27,0.48,0.0,0.48,0.0,0.0,123.52,0.0,43264804.0,55868020.0,7938972.0,12.16,85124.0,9814724.0,11390916.0,10.62,11038332.0,4849120.0,1032.0,6006520.0,4190200.0,25264.0,60568.0,65260.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1556.0,14.52,12.15,11.46,0.0,0.0,0.0,0.0,0.0,0.0,2699.59
0,10:57:56 PM,4.0,0.51,0.0,1.77,0.0,0.0,0.0,0.0,0.0,0.0,97.73,8.98,135506.98,27.18,0.0,27.18,0.0,0.0,586.53,0.0,43263352.0,55866768.0,7940088.0,12.16,85124.0,9814884.0,11414620.0,10.64,11038540.0,4849336.0,36.0,6006764.0,4190376.0,25248.0,60568.0,65292.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1555.0,14.64,12.21,11.48,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:58:00 PM,4.0,0.5,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,98.49,2.99,152533.17,0.75,0.0,0.75,0.0,0.0,12.22,0.0,43263472.0,55867024.0,7939760.0,12.16,85124.0,9815068.0,11408576.0,10.64,11039984.0,4849472.0,296.0,6008248.0,4190400.0,25296.0,60804.0,65276.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1559.0,14.83,12.29,11.51,0.0,0.0,0.0,0.0,0.0,0.0,2699.46
0,10:58:04 PM,4.0,0.76,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,97.48,6.47,149348.76,5.97,0.0,5.97,0.0,0.0,473.13,0.0,43259504.0,55863212.0,7943332.0,12.17,85124.0,9815224.0,11406076.0,10.64,11040708.0,4849628.0,828.0,6008904.0,4190640.0,25344.0,60864.0,65372.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1557.0,14.93,12.35,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:58:08 PM,4.0,0.46,0.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0,97.03,6.12,188500.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43260196.0,55864080.0,7942312.0,12.16,85124.0,9815400.0,11397856.0,10.63,11040916.0,4849804.0,1004.0,6009084.0,4190792.0,25312.0,60684.0,65324.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1558.0,14.93,12.35,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2699.99
0,10:58:13 PM,4.0,0.5,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,96.75,4.49,149839.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43258832.0,55862900.0,7943452.0,12.17,85124.0,9815576.0,11406268.0,10.64,11041024.0,4849988.0,1292.0,6009188.0,4190840.0,25328.0,60720.0,65356.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1559.0,15.01,12.41,11.56,0.0,0.0,0.0,0.0,0.0,0.0,2699.54
0,10:58:17 PM,4.0,0.76,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,96.98,8.98,196254.36,33.17,0.0,33.17,0.0,0.0,724.19,0.0,43257676.0,55861968.0,7944572.0,12.17,85124.0,9815752.0,11417576.0,10.65,11041784.0,4850212.0,268.0,6009940.0,4190700.0,25312.0,60696.0,65388.0,41943032.0,0.0,0.0,0.0,0.0,3.0,1559.0,15.17,12.49,11.59,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:58:21 PM,4.0,0.75,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,97.26,0.0,202519.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43257676.0,55862060.0,7944376.0,12.17,85124.0,9815948.0,11417576.0,10.65,11042296.0,4850304.0,308.0,6010536.0,4190700.0,25312.0,60696.0,65388.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1559.0,15.24,12.55,11.62,0.0,0.0,0.0,0.0,0.0,0.0,2700.39
0,10:58:25 PM,4.0,0.74,0.0,3.97,0.0,0.0,0.0,0.0,0.0,0.0,95.29,16.55,203247.2,0.73,0.0,0.73,0.0,0.0,251.09,0.0,43243612.0,55852968.0,7952772.0,12.18,85124.0,9821552.0,11574252.0,10.79,11047592.0,4855248.0,5756.0,6015960.0,4190764.0,25656.0,61648.0,65564.0,41943032.0,0.0,0.0,0.0,0.0,4.0,1577.0,15.78,12.7,11.67,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:58:29 PM,4.0,1.27,0.0,7.63,0.0,0.0,0.0,0.0,0.0,0.0,91.09,26.18,213164.34,14.46,0.0,14.46,0.0,0.0,3922.19,0.0,43244672.0,55849992.0,7956472.0,12.19,85124.0,9816760.0,11538032.0,10.76,11050052.0,4851196.0,368.0,6018232.0,4190796.0,25392.0,60916.0,65420.0,41943032.0,0.0,0.0,0.0,0.0,2.0,1560.0,15.78,12.7,11.67,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:58:33 PM,4.0,1.02,0.0,3.84,0.0,0.0,0.0,0.0,0.0,0.0,95.14,33.42,215870.07,9.23,0.0,9.23,0.0,0.0,384.79,0.0,43245516.0,55851224.0,7955200.0,12.18,85124.0,9817212.0,11532524.0,10.75,11048008.0,4851584.0,848.0,6016108.0,4190772.0,25328.0,60880.0,65468.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1560.0,15.96,12.79,11.71,0.0,3.24,0.0,0.0,0.0,0.0,2700.0
0,10:58:37 PM,4.0,7.76,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0,90.12,31.02,212168.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43246948.0,55853140.0,7953100.0,12.18,85124.0,9817668.0,11524676.0,10.75,11048732.0,4852100.0,1304.0,6017092.0,4190984.0,25344.0,60888.0,65324.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1560.0,16.84,13.03,11.79,0.0,11.57,0.0,0.0,0.0,0.0,2700.0
0,10:58:41 PM,4.0,22.84,0.0,2.03,0.0,0.0,0.0,0.0,0.0,0.0,75.13,34.16,220188.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43240416.0,55847232.0,7958708.0,12.19,85124.0,9818140.0,11527984.0,10.75,11051432.0,4852628.0,1776.0,6019684.0,4191436.0,25512.0,60956.0,65500.0,41943032.0,0.0,0.0,0.0,0.0,3.0,1563.0,16.77,13.08,11.81,0.0,6.48,0.0,0.0,0.0,0.0,2700.0
0,10:58:45 PM,4.0,40.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,57.75,26.43,205407.73,12.97,0.0,12.97,0.0,0.0,1977.06,0.0,43239896.0,55847180.0,7958884.0,12.19,85124.0,9818624.0,11528668.0,10.75,11053272.0,4853096.0,536.0,6021728.0,4191296.0,25568.0,61192.0,65516.0,41943032.0,0.0,0.0,0.0,0.0,2.0,1575.0,17.51,13.29,11.89,0.0,7.98,0.0,0.0,0.0,0.0,2700.0
0,10:58:49 PM,4.0,6.33,0.0,6.33,0.0,0.0,0.0,0.0,0.0,0.0,87.34,27.18,209536.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43238156.0,55845940.0,7959976.0,12.19,85124.0,9819148.0,11534588.0,10.76,11052444.0,4853588.0,1068.0,6020624.0,4191420.0,25568.0,60884.0,65596.0,41943032.0,0.0,0.0,0.0,0.0,6.0,1575.0,17.39,13.34,11.91,0.0,4.99,0.0,0.0,0.0,0.0,2699.99
