,timestamp,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle,proc/s,cswch/s,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,kbanonpg,kbslab,kbkstack,kbpgtbl,kbvmused,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,total/s,dropd/s,squeezd/s,rx_rps/s,flw_lim/s,MHz
0,10:56:51 PM,5.0,10.69,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,87.89,26.37,97208.31,28.98,0.0,28.98,0.0,0.0,581.47,0.0,43238328.0,55838880.0,7968552.0,12.2,85124.0,9811944.0,11362536.0,10.6,11066608.0,4846444.0,64.0,6034228.0,4189876.0,25200.0,60432.0,65308.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,11.58,11.23,11.14,0.0,0.0,0.0,0.0,0.0,0.0,2698.26
0,10:56:55 PM,5.0,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,98.75,4.48,96437.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43238224.0,55838940.0,7968360.0,12.2,85124.0,9812136.0,11399956.0,10.63,11065404.0,4846608.0,320.0,6033604.0,4189980.0,25200.0,60432.0,65340.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,11.93,11.31,11.16,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:56:59 PM,5.0,0.98,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,98.54,0.0,96650.61,0.49,0.0,0.49,0.0,0.0,124.82,0.0,43238412.0,55839236.0,7967988.0,12.2,85124.0,9812320.0,11399956.0,10.63,11065008.0,4846716.0,504.0,6033272.0,4189980.0,25200.0,60432.0,65340.0,41943032.0,0.0,0.0,0.0,0.0,2.0,1552.0,12.34,11.4,11.19,0.0,0.0,0.0,0.0,0.0,0.0,2699.16
0,10:57:04 PM,5.0,0.95,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,98.57,0.71,58109.03,3.09,0.0,3.09,0.0,0.0,285.99,0.0,43238592.0,55839524.0,7967596.0,12.2,85124.0,9812500.0,11400640.0,10.63,11065652.0,4846824.0,692.0,6033968.0,4190012.0,25200.0,60432.0,65324.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,12.34,11.4,11.19,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:57:08 PM,5.0,1.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,98.5,0.0,50197.76,1.0,0.0,1.0,0.0,0.0,258.71,0.0,43239096.0,55840284.0,7966932.0,12.2,85124.0,9812660.0,11400640.0,10.63,11064596.0,4847080.0,852.0,6032892.0,4190012.0,25200.0,60432.0,65324.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,12.63,11.48,11.22,0.0,0.0,0.0,0.0,0.0,0.0,2699.86
0,10:57:12 PM,5.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,98.75,1.75,50341.65,0.5,0.0,0.5,0.0,0.0,129.68,0.0,43238088.0,55839464.0,7967768.0,12.2,85124.0,9812836.0,11391720.0,10.62,11065196.0,4847268.0,1028.0,6033356.0,4190008.0,25200.0,60432.0,65260.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,12.9,11.56,11.25,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:57:16 PM,5.0,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,98.75,0.0,50388.28,10.22,0.0,10.22,0.0,0.0,965.59,0.0,43238340.0,55839936.0,7967332.0,12.2,85124.0,9813016.0,11391720.0,10.62,11065420.0,4847488.0,96.0,6033528.0,4190012.0,25200.0,60432.0,65260.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,13.15,11.63,11.27,0.0,0.0,0.0,0.0,0.0,0.0,2699.59
0,10:57:20 PM,5.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,98.51,0.25,50347.63,16.96,0.0,16.96,0.0,0.0,8925.69,0.0,43218700.0,55837476.0,7969732.0,12.21,85124.0,9830240.0,11391720.0,10.62,11085276.0,4847664.0,17152.0,6036480.0,4190028.0,25200.0,60432.0,65244.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1552.0,13.46,11.72,11.3,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:57:24 PM,5.0,1.21,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,98.06,0.97,59878.59,148.91,147.93,0.97,0.0,31591.24,253.04,0.0,43286772.0,55888768.0,7918220.0,12.13,85124.0,9813704.0,11323656.0,10.56,11029676.0,4847904.0,584.0,5997904.0,4190004.0,25168.0,60304.0,65180.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1550.0,13.46,11.72,11.3,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,10:57:28 PM,5.0,0.46,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,98.84,3.94,69911.11,44.91,44.68,0.23,0.0,11264.81,118.52,0.0,43274760.0,55876816.0,7930332.0,12.15,85124.0,9813504.0,11367896.0,10.6,11036864.0,4847956.0,908.0,6005176.0,4190104.0,25312.0,60544.0,65212.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1559.0,13.66,11.79,11.33,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
