359571 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 364) = 364
359571 write(8, "LOG_START_wsgi ,TS=1715874617.95"..., 37) = 37
359571 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
359572 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
359571 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
359571 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
359572 write(8, "LOG_START_wsgi ,TS=1715874617.95"..., 38) = 38
359573 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
359572 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
359571 write(8, "PID = \n358864\n", 14) = 14
359571 write(3, "INFO:werkzeug:PID = \n358864\n", 28) = 28
359572 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
359572 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
359573 write(8, "LOG_START_wsgi ,TS=1715874617.96"..., 38) = 38
359574 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
359571 write(8, "TID = \n359571\n", 14) = 14
359573 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
359571 write(3, "INFO:werkzeug:TID = \n359571\n", 28) = 28
359575 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
359572 write(8, "PID = \n358864\n", 14) = 14
359572 write(3, "INFO:werkzeug:PID = \n358864\n", 28) = 28
359574 write(8, "LOG_START_wsgi ,TS=1715874617.96"..., 38) = 38
359574 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
359573 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
359576 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
359573 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
359575 write(8, "LOG_START_wsgi ,TS=1715874617.96"..., 38) = 38
359575 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
359572 write(8, "TID = \n359572\n", 14) = 14
359572 write(3, "INFO:werkzeug:TID = \n359572\n", 28) = 28
359575 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
359577 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
359575 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
359573 write(8, "PID = \n358864\n", 14) = 14
359573 write(3, "INFO:werkzeug:PID = \n358864\n", 28) = 28
359576 write(8, "LOG_START_wsgi ,TS=1715874617.96"..., 38) = 38
359578 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 364) = 364
359574 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
359576 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
359575 write(8, "PID = \n358864\n", 14) = 14
359574 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
359577 write(8, "LOG_START_wsgi ,TS=1715874617.96"..., 38) = 38
359575 write(3, "INFO:werkzeug:PID = \n358864\n", 28) = 28
359573 write(8, "TID = \n359573\n", 14) = 14
359579 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 364) = 364
359577 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
359578 write(8, "LOG_START_wsgi ,TS=1715874617.97"..., 37) = 37
359576 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
359578 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
359580 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
359574 write(8, "PID = \n358864\n", 14) = 14
359576 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
359575 write(8, "TID = \n359575\n", 14 <unfinished ...>
359573 write(3, "INFO:werkzeug:TID = \n359573\n", 28 <unfinished ...>
359579 write(8, "LOG_START_wsgi ,TS=1715874617.97"..., 37) = 37
359574 write(3, "INFO:werkzeug:PID = \n358864\n", 28) = 28
359577 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
359575 write(3, "INFO:werkzeug:TID = \n359575\n", 28) = 28
359578 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
359579 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
359580 write(8, "LOG_START_wsgi ,TS=1715874617.97"..., 38) = 38
359577 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160 <unfinished ...>
359576 write(8, "PID = \n358864\n", 14 <unfinished ...>
359578 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
359574 write(8, "TID = \n359574\n", 14) = 14
359580 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52 <unfinished ...>
359579 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146 <unfinished ...>
359576 write(3, "INFO:werkzeug:PID = \n358864\n", 28) = 28
359577 write(8, "PID = \n358864\n", 14) = 14
359574 write(3, "INFO:werkzeug:TID = \n359574\n", 28) = 28
359578 write(8, "PID = \n358864\n", 14) = 14
359579 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
359580 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
359577 write(3, "INFO:werkzeug:PID = \n358864\n", 28) = 28
359576 write(8, "TID = \n359576\n", 14) = 14
359578 write(3, "INFO:werkzeug:PID = \n358864\n", 28) = 28
359579 write(8, "PID = \n358864\n", 14) = 14
359580 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160 <unfinished ...>
359578 write(8, "TID = \n359578\n", 14) = 14
359577 write(8, "TID = \n359577\n", 14) = 14
359576 write(3, "INFO:werkzeug:TID = \n359576\n", 28) = 28
359580 write(8, "PID = \n358864\n", 14) = 14
359579 write(3, "INFO:werkzeug:PID = \n358864\n", 28) = 28
359579 write(8, "TID = \n359579\n", 14) = 14
359578 write(3, "INFO:werkzeug:TID = \n359578\n", 28) = 28
359577 write(3, "INFO:werkzeug:TID = \n359577\n", 28) = 28
359580 write(3, "INFO:werkzeug:PID = \n358864\n", 28) = 28
359580 write(8, "TID = \n359580\n", 14 <unfinished ...>
359579 write(3, "INFO:werkzeug:TID = \n359579\n", 28 <unfinished ...>
359580 write(3, "INFO:werkzeug:TID = \n359580\n", 28) = 28
359571 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359571 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359572 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359572 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359573 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359573 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359575 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359575 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359571 write(8, "LOG_STOP_wsgi, TS=1715874617.957"..., 36) = 36
359571 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
359574 write(8, "post_data_form = \nImmutableMulti"..., 41 <unfinished ...>
359571 write(1, "#*# REQ_SEND\n", 13 <unfinished ...>
359574 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359576 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359571 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
359576 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359574 write(8, "LOG_STOP_wsgi, TS=1715874617.962"..., 37) = 37
359574 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51 <unfinished ...>
359578 write(8, "post_data_form = \nImmutableMulti"..., 41 <unfinished ...>
359574 write(1, "#*# REQ_SEND\n", 13)   = 13
