359581 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
359581 write(8, "LOG_START_wsgi ,TS=1715874618.00"..., 38) = 38
359581 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
359581 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
359581 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
359581 write(8, "PID = \n358884\n", 14) = 14
359581 write(3, "INFO:werkzeug:PID = \n358884\n", 28) = 28
359581 write(8, "TID = \n359581\n", 14) = 14
359581 write(3, "INFO:werkzeug:TID = \n359581\n", 28) = 28
359581 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359581 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359581 write(8, "LOG_STOP_wsgi, TS=1715874618.006"..., 37) = 37
359581 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
359581 write(1, "#*# REQ_SEND\n", 13)   = 13
359581 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
359582 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461 <unfinished ...>
359582 write(8, "LOG_START_wsgi ,TS=1715874618.01"..., 38) = 38
359582 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
359583 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
359582 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
359582 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
359583 write(8, "LOG_START_wsgi ,TS=1715874618.01"..., 38) = 38
359583 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
359584 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
359582 write(8, "PID = \n358884\n", 14) = 14
359582 write(3, "INFO:werkzeug:PID = \n358884\n", 28) = 28
359583 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
359583 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
359584 write(8, "LOG_START_wsgi ,TS=1715874618.01"..., 38) = 38
359585 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
359584 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
359582 write(8, "TID = \n359582\n", 14) = 14
359585 write(8, "LOG_START_wsgi ,TS=1715874618.01"..., 38) = 38
359581 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359586 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 458) = 458
359582 write(3, "INFO:werkzeug:TID = \n359582\n", 28) = 28
359583 write(8, "PID = \n358884\n", 14) = 14
359585 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52 <unfinished ...>
359584 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
359583 write(3, "INFO:werkzeug:PID = \n358884\n", 28) = 28
359586 write(8, "LOG_START_wsgi ,TS=1715874618.01"..., 35) = 35
359587 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
359584 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
359582 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359586 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 49) = 49
359582 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359585 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
359583 write(8, "TID = \n359583\n", 14) = 14
359585 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
359589 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
359587 write(8, "LOG_START_wsgi ,TS=1715874618.02"..., 38) = 38
359583 write(3, "INFO:werkzeug:TID = \n359583\n", 28) = 28
359584 write(8, "PID = \n358884\n", 14) = 14
359587 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
359586 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
359590 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 460) = 460
359584 write(3, "INFO:werkzeug:PID = \n358884\n", 28) = 28
359582 write(8, "LOG_STOP_wsgi, TS=1715874618.010"..., 37) = 37
359586 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
359589 write(8, "LOG_START_wsgi ,TS=1715874618.02"..., 38) = 38
359582 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
359585 write(8, "PID = \n358884\n", 14) = 14
359583 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359591 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
359582 write(1, "#*# REQ_SEND\n", 13)   = 13
359589 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
359582 write(2, "{\"message\": \"Get with url http:/"..., 405) = 405
359587 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
359585 write(3, "INFO:werkzeug:PID = \n358884\n", 28) = 28
359583 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359590 write(8, "LOG_START_wsgi ,TS=1715874618.02"..., 37) = 37
359587 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
359584 write(8, "TID = \n359584\n", 14) = 14
359582 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
359586 write(8, "PID = \n358884\n", 14) = 14
359590 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
359591 write(8, "LOG_START_wsgi ,TS=1715874618.02"..., 38) = 38
359584 write(3, "INFO:werkzeug:TID = \n359584\n", 28) = 28
359589 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
359586 write(3, "INFO:werkzeug:PID = \n358884\n", 28) = 28
359591 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
359585 write(8, "TID = \n359585\n", 14) = 14
