,time,UID,PID,Command,%usr,%system,%guest,%wait,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,StkSize,StkRef,kB_rd/s,kB_wr/s,kB_ccwr/s,iodelay,cswch/s,nvcswch/s,threads,fd-nr
0,09:18:27 PM,0,358864,python3,44.55,6.93,0.00,0.00,51.49,1,12841.58,0.00,209488,51200,0.08,132,100,0.00,7.92,0.00,0,32.67,9.90,3,10
1,09:18:28 PM,0,358864,python3,5.00,1.00,0.00,0.00,6.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
2,09:18:29 PM,0,358864,python3,3.00,0.00,0.00,0.00,3.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
3,09:18:30 PM,0,358864,python3,4.00,1.00,0.00,0.00,5.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
4,09:18:31 PM,0,358864,python3,4.00,1.00,0.00,0.00,5.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
5,09:18:32 PM,0,358864,python3,4.00,1.00,0.00,0.00,5.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
6,09:18:33 PM,0,358864,python3,3.00,2.00,0.00,0.00,5.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
7,09:18:34 PM,0,358864,python3,3.00,1.00,0.00,0.00,4.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
8,09:18:35 PM,0,358864,python3,3.00,2.00,0.00,0.00,5.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
9,09:18:36 PM,0,358864,python3,2.00,3.00,0.00,0.00,5.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
10,09:18:37 PM,0,358864,python3,1.00,0.00,0.00,0.00,1.00,1,0.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,0.00,0.00,3,10
11,09:18:38 PM,0,358864,python3,4.00,0.00,0.00,0.00,4.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,4.00,3,10
12,09:18:39 PM,0,358864,python3,3.00,2.00,0.00,0.00,5.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
13,09:18:40 PM,0,358864,python3,4.00,1.00,0.00,0.00,5.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
14,09:18:41 PM,0,358864,python3,3.00,2.00,0.00,0.00,5.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
15,09:18:42 PM,0,358864,python3,4.00,1.00,0.00,0.00,5.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
16,09:18:43 PM,0,358864,python3,3.00,1.00,0.00,0.00,4.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
17,09:18:44 PM,0,358864,python3,3.00,2.00,0.00,0.00,5.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
18,09:18:45 PM,0,358864,python3,3.00,1.00,0.00,0.00,4.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
19,09:18:46 PM,0,358864,python3,4.00,1.00,0.00,0.00,5.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
20,09:18:47 PM,0,358864,python3,2.00,2.00,0.00,0.00,4.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
21,09:18:48 PM,0,358864,python3,4.00,2.00,0.00,0.00,6.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
22,09:18:49 PM,0,358864,python3,3.00,1.00,0.00,0.00,4.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
23,09:18:50 PM,0,358864,python3,6.00,1.00,0.00,0.00,7.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,3.00,3,10
24,09:18:51 PM,0,358864,python3,2.00,2.00,0.00,0.00,4.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
25,09:18:52 PM,0,358864,python3,3.00,2.00,0.00,0.00,5.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
26,09:18:53 PM,0,358864,python3,4.00,1.00,0.00,0.00,5.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
27,09:18:54 PM,0,358864,python3,4.00,1.00,0.00,0.00,5.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
28,09:18:55 PM,0,358864,python3,2.00,2.00,0.00,0.00,4.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
29,09:18:56 PM,0,358864,python3,3.00,1.00,0.00,0.00,4.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
30,09:18:57 PM,0,358864,python3,5.00,1.00,0.00,0.00,6.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
31,09:18:58 PM,0,358864,python3,2.00,1.00,0.00,0.00,3.00,1,313.00,0.00,210256,51856,0.08,132,100,0.00,0.00,0.00,0,0.00,0.00,3,11
32,09:18:59 PM,0,358864,python3,1.00,0.00,0.00,0.00,1.00,1,107.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
33,09:19:00 PM,0,358864,python3,4.00,1.00,0.00,0.00,5.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,5.00,3,10
34,09:19:01 PM,0,358864,python3,4.00,1.00,0.00,0.00,5.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
35,09:19:02 PM,0,358864,python3,3.00,1.00,0.00,0.00,4.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
36,09:19:03 PM,0,358864,python3,3.00,2.00,0.00,0.00,5.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
37,09:19:04 PM,0,358864,python3,3.00,2.00,0.00,0.00,5.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
38,09:19:05 PM,0,358864,python3,5.00,0.00,0.00,0.00,5.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
39,09:19:06 PM,0,358864,python3,3.00,1.00,0.00,0.00,4.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
40,09:19:07 PM,0,358864,python3,4.00,1.00,0.00,0.00,5.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
41,09:19:08 PM,0,358864,python3,3.00,2.00,0.00,0.00,5.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
42,09:19:09 PM,0,358864,python3,3.00,1.00,0.00,0.00,4.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
43,09:19:10 PM,0,358864,python3,5.00,1.00,0.00,0.00,6.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,3.00,3,10
44,09:19:11 PM,0,358864,python3,4.00,0.00,0.00,0.00,4.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
45,09:19:12 PM,0,358864,python3,4.00,1.00,0.00,0.00,5.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
46,09:19:13 PM,0,358864,python3,4.00,1.00,0.00,0.00,5.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
47,09:19:14 PM,0,358864,python3,4.00,1.00,0.00,0.00,5.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
48,09:19:15 PM,0,358864,python3,5.00,0.00,0.00,0.00,5.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,3.00,3,10
49,09:19:16 PM,0,358864,python3,3.00,2.00,0.00,0.00,5.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
50,09:19:17 PM,0,358864,python3,4.00,2.00,0.00,0.00,6.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
51,09:19:18 PM,0,358864,python3,3.00,1.00,0.00,0.00,4.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,1.00,3.00,3,10
52,09:19:19 PM,0,358864,python3,2.00,1.00,0.00,0.00,3.00,1,0.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,5771.00,1.00,3,11
53,09:19:20 PM,0,358864,python3,5.00,5.00,0.00,0.00,10.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,16353.00,5.00,3,10
54,09:19:21 PM,0,358864,python3,6.00,6.00,0.00,0.00,12.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,3.00,3,10
55,09:19:22 PM,0,358864,python3,6.00,7.00,0.00,0.00,13.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,3.00,3,10
56,09:19:23 PM,0,358864,python3,7.00,6.00,0.00,0.00,13.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,3.00,3,10
57,09:19:24 PM,0,358864,python3,4.00,9.00,0.00,0.00,13.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,4.00,3,10
58,09:19:25 PM,0,358864,python3,2.00,0.00,0.00,0.00,2.00,1,0.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,4339.00,0.00,3,11
59,09:19:26 PM,0,358864,python3,4.00,6.00,0.00,0.00,10.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,17782.00,7.00,3,10
60,09:19:27 PM,0,358864,python3,6.00,7.00,0.00,0.00,13.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,3.00,3,10
61,09:19:28 PM,0,358864,python3,6.00,7.00,0.00,0.00,13.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,2.00,3,10
62,09:19:29 PM,0,358864,python3,4.00,8.00,0.00,0.00,12.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,2.00,3,10
63,09:19:30 PM,0,358864,python3,7.00,6.00,0.00,0.00,13.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,3.00,3,10
64,09:19:31 PM,0,358864,python3,0.00,1.00,0.00,0.00,1.00,1,0.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,3445.00,0.00,3,11
65,09:19:32 PM,0,358864,python3,5.00,6.00,0.00,0.00,11.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,18676.00,3.00,3,10
66,09:19:33 PM,0,358864,python3,5.00,8.00,0.00,0.00,13.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,5.00,3,10
67,09:19:34 PM,0,358864,python3,5.00,7.00,0.00,0.00,12.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,3.00,3,10
68,09:19:35 PM,0,358864,python3,4.00,9.00,0.00,0.00,13.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,4.00,3,10
69,09:19:36 PM,0,358864,python3,6.00,6.00,0.00,0.00,12.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,3.00,3,10
70,09:19:37 PM,0,358864,python3,1.00,2.00,0.00,0.00,3.00,1,0.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,3558.00,0.00,3,11
71,09:19:38 PM,0,358864,python3,7.00,4.00,0.00,0.00,11.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,18563.00,5.00,3,10
72,09:19:39 PM,0,358864,python3,6.00,6.00,0.00,0.00,12.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,2.00,3,10
73,09:19:40 PM,0,358864,python3,5.00,7.00,0.00,0.00,12.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,3.00,3,10
74,09:19:41 PM,0,358864,python3,5.00,9.00,0.00,0.00,14.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,6.00,3,10
75,09:19:42 PM,0,358864,python3,6.00,7.00,0.00,0.00,13.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,4.00,3,10
76,09:19:43 PM,0,358864,python3,1.00,0.00,0.00,0.00,1.00,1,0.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,2989.00,0.00,3,11
77,09:19:44 PM,0,358864,python3,6.00,5.00,0.00,0.00,11.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,19136.00,4.00,3,10
78,09:19:45 PM,0,358864,python3,4.00,9.00,0.00,0.00,13.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,3.00,3,10
79,09:19:46 PM,0,358864,python3,6.00,6.00,0.00,0.00,12.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,3.00,3,10
80,09:19:47 PM,0,358864,python3,7.00,6.00,0.00,0.00,13.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,3.00,3,10
81,09:19:48 PM,0,358864,python3,6.00,7.00,0.00,0.00,13.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,3.00,3,10
82,09:19:49 PM,0,358864,python3,1.00,0.00,0.00,0.00,1.00,1,0.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,2323.00,0.00,3,10
83,09:19:50 PM,0,358864,python3,4.00,7.00,0.00,0.00,11.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,19798.00,1.00,3,10
84,09:19:51 PM,0,358864,python3,7.00,6.00,0.00,0.00,13.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,1.00,3,10
85,09:19:52 PM,0,358864,python3,7.00,5.00,0.00,0.00,12.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,3.00,3,10
86,09:19:53 PM,0,358864,python3,7.00,6.00,0.00,1.00,13.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,3.00,3,10
87,09:19:54 PM,0,358864,python3,5.00,7.00,0.00,0.00,12.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,2.00,3,10
88,09:19:55 PM,0,358864,python3,1.00,1.00,0.00,0.00,2.00,1,0.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,2158.00,0.00,3,11
89,09:19:56 PM,0,358864,python3,5.00,7.00,0.00,0.00,12.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,19963.00,3.00,3,10
90,09:19:57 PM,0,358864,python3,6.00,6.00,0.00,0.00,12.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,3.00,3,10
91,09:19:58 PM,0,358864,python3,5.00,7.00,0.00,0.00,12.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,3.00,3,10
92,09:19:59 PM,0,358864,python3,4.00,8.00,0.00,0.00,12.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,6.00,3,10
93,09:20:00 PM,0,358864,python3,6.00,8.00,0.00,0.00,14.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,3.00,3,10
94,09:20:01 PM,0,358864,python3,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,2023.00,0.00,3,10
95,09:20:02 PM,0,358864,python3,4.00,8.00,0.00,0.00,12.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,20107.00,6.00,3,10
96,09:20:03 PM,0,358864,python3,4.00,9.00,0.00,0.00,13.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,3.00,3,10
97,09:20:04 PM,0,358864,python3,5.00,7.00,0.00,0.00,12.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,5.00,3,10
98,09:20:05 PM,0,358864,python3,5.00,8.00,0.00,0.00,13.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22130.00,5.00,3,10
99,09:20:06 PM,0,358864,python3,6.00,7.00,0.00,0.00,13.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,2.00,3,10
100,09:20:07 PM,0,358864,python3,1.00,0.00,0.00,0.00,1.00,1,0.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,839.00,0.00,3,10
101,09:20:08 PM,0,358864,python3,5.00,7.00,0.00,0.00,12.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,21286.00,4.00,3,10
102,09:20:09 PM,0,358864,python3,4.00,9.00,0.00,0.00,13.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,4.00,3,10
103,09:20:10 PM,0,358864,python3,6.00,7.00,0.00,0.00,13.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,2.00,3,10
104,09:20:11 PM,0,358864,python3,7.00,6.00,0.00,0.00,13.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,3.00,3,10
105,09:20:12 PM,0,358864,python3,5.00,6.00,0.00,0.00,11.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,21283.00,1.00,3,10
106,09:20:13 PM,0,358864,python3,0.00,1.00,0.00,0.00,1.00,1,0.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,838.00,0.00,3,10
107,09:20:14 PM,0,358864,python3,3.00,10.00,0.00,0.00,13.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,4.00,3,10
108,09:20:15 PM,0,358864,python3,6.00,6.00,0.00,1.00,12.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,5.00,3,10
109,09:20:16 PM,0,358864,python3,8.00,6.00,0.00,0.00,14.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22121.00,4.00,3,10
110,09:20:17 PM,0,358864,python3,4.00,8.00,0.00,0.00,12.00,1,420.00,0.00,209488,51200,0.08,132,100,0.00,0.00,0.00,0,22130.00,3.00,3,10
111,09:20:18 PM,0,358864,python3,7.00,8.00,0.00,0.00,15.00,1,757.00,0.00,947576,52048,0.08,132,100,8.00,12.00,0.00,0,16629.00,1.00,13,30
112,09:20:19 PM,0,358864,python3,7.00,3.00,0.00,1.00,10.00,1,421.00,0.00,898400,53716,0.08,132,100,4.00,136.00,20.00,0,5532.00,0.00,3,10
113,09:20:20 PM,0,358864,python3,7.00,8.00,0.00,0.00,15.00,1,469.00,0.00,922988,53768,0.08,132,100,0.00,8.00,0.00,0,22135.00,2.00,10,24
114,09:20:21 PM,0,358864,python3,11.00,9.00,0.00,1.00,20.00,1,426.00,0.00,906852,54068,0.08,132,100,0.00,92.00,8.00,0,23047.00,94.00,6,16
115,09:20:22 PM,0,358864,python3,8.00,11.00,0.00,0.00,19.00,1,353.00,0.00,923244,54112,0.08,132,100,0.00,44.00,0.00,0,22999.00,5.00,10,24
116,09:20:23 PM,0,358864,python3,9.00,7.00,0.00,0.00,16.00,1,325.00,0.00,906852,54124,0.08,132,100,0.00,92.00,0.00,0,20793.00,3.00,6,16
117,09:20:24 PM,0,358864,python3,3.00,0.00,0.00,0.00,3.00,1,26.00,0.00,923244,54100,0.08,132,100,0.00,52.00,0.00,0,1332.00,0.00,10,24
118,09:20:25 PM,0,358864,python3,11.00,7.00,0.00,1.00,18.00,1,340.00,0.00,906852,54112,0.08,132,100,0.00,96.00,0.00,0,22129.00,2.00,6,16
119,09:20:26 PM,0,358864,python3,9.00,6.00,0.00,1.00,15.00,1,322.00,0.00,898656,54116,0.08,132,100,0.00,44.00,0.00,0,22324.00,30.00,3,10
120,09:20:27 PM,0,358864,python3,8.00,9.00,0.00,0.00,17.00,1,349.00,0.00,923244,54120,0.08,132,100,0.00,8.00,0.00,0,22129.00,4.00,10,24
121,09:20:28 PM,0,358864,python3,10.00,6.00,0.00,0.00,16.00,1,333.00,0.00,898656,54124,0.08,132,100,0.00,84.00,12.00,0,22129.00,3.00,6,16
122,09:20:29 PM,0,358864,python3,5.00,5.00,0.00,0.00,10.00,1,30.00,0.00,923244,54136,0.08,132,100,0.00,48.00,0.00,0,11987.00,0.00,10,25
123,09:20:30 PM,0,358864,python3,7.00,5.00,0.00,2.00,12.00,1,342.00,0.00,906852,54160,0.08,132,100,0.00,100.00,0.00,0,10142.00,1.00,6,16
124,09:20:31 PM,0,358864,python3,7.00,10.00,0.00,0.00,17.00,1,354.00,0.00,923244,54416,0.08,132,100,0.00,52.00,0.00,0,23564.00,17.00,10,24
125,09:20:32 PM,0,358864,python3,9.00,7.00,0.00,0.00,16.00,1,335.00,0.00,906852,54404,0.08,132,100,0.00,100.00,8.00,0,22129.00,2.00,6,16
126,09:20:33 PM,0,358864,python3,10.00,8.00,0.00,1.00,18.00,1,355.00,0.00,923244,54404,0.08,132,100,0.00,76.00,0.00,0,22129.00,2.00,8,20
127,09:20:34 PM,0,358864,python3,9.00,6.00,0.00,0.00,15.00,1,350.00,0.00,899424,55192,0.08,132,100,0.00,124.00,12.00,0,16951.00,43.00,5,14
128,09:20:35 PM,0,358864,python3,6.00,3.00,0.00,0.00,9.00,1,26.00,0.00,924012,55208,0.08,132,100,0.00,64.00,0.00,0,6059.00,0.00,9,22
129,09:20:36 PM,0,358864,python3,9.00,7.00,0.00,1.00,16.00,1,74.00,0.00,899424,55192,0.08,132,100,0.00,84.00,0.00,0,22264.00,21.00,7,18
130,09:20:37 PM,0,358864,python3,12.00,8.00,0.00,0.00,20.00,1,116.00,0.00,924012,55352,0.08,132,100,0.00,108.00,0.00,0,22115.00,3.00,6,16
131,09:20:38 PM,0,358864,python3,12.00,9.00,0.00,0.00,21.00,1,76.00,0.00,915816,55304,0.08,132,100,0.00,40.00,0.00,0,22224.00,37.00,9,22
132,09:20:39 PM,0,358864,python3,12.00,7.00,0.00,2.00,19.00,1,78.00,0.00,924012,55352,0.08,132,100,0.00,116.00,0.00,0,23296.00,116.00,6,16
133,09:20:40 PM,0,358864,python3,2.00,2.00,0.00,0.00,4.00,1,20.00,0.00,924012,55308,0.08,132,100,0.00,48.00,0.00,0,1233.00,0.00,10,25
134,09:20:41 PM,0,358864,python3,10.00,7.00,0.00,1.00,17.00,1,138.00,0.00,924012,55320,0.08,132,100,0.00,100.00,0.00,0,20880.00,2.00,6,16
135,09:20:42 PM,0,358864,python3,8.00,10.00,0.00,0.00,18.00,1,152.00,0.00,924012,55308,0.08,132,100,0.00,44.00,0.00,0,22115.00,4.00,10,24
