,time,UID,PID,Command,%usr,%system,%guest,%wait,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,StkSize,StkRef,kB_rd/s,kB_wr/s,kB_ccwr/s,iodelay,cswch/s,nvcswch/s,threads,fd-nr
0,09:18:27 PM,0,358884,python3,42.00,2.00,0.00,0.00,44.00,3,11821.00,0.00,208652,50284,0.08,132,100,0.00,8.00,0.00,0,34.00,4.00,3,10
1,09:18:28 PM,0,358884,python3,0.00,0.00,0.00,0.00,0.00,3,17.00,0.00,208652,50284,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
2,09:18:29 PM,0,358884,python3,1.00,0.00,0.00,0.00,1.00,3,17.00,0.00,208652,50284,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
3,09:18:30 PM,0,358884,python3,1.00,0.00,0.00,0.00,1.00,3,17.00,0.00,208652,50284,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
4,09:18:31 PM,0,358884,python3,0.00,1.00,0.00,0.00,1.00,3,17.00,0.00,208652,50284,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
5,09:18:32 PM,0,358884,python3,1.00,0.00,0.00,0.00,1.00,3,17.00,0.00,208652,50284,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
6,09:18:33 PM,0,358884,python3,0.00,0.00,0.00,0.00,0.00,3,17.00,0.00,208652,50284,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
7,09:18:34 PM,0,358884,python3,1.00,0.00,0.00,0.00,1.00,3,17.00,0.00,208652,50284,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
8,09:18:35 PM,0,358884,python3,0.00,0.00,0.00,0.00,0.00,3,17.00,0.00,208652,50284,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
9,09:18:36 PM,0,358884,python3,0.00,1.00,0.00,0.00,1.00,3,17.00,0.00,208652,50284,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
