,time,UID,PID,Command,%usr,%system,%guest,%wait,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,StkSize,StkRef,kB_rd/s,kB_wr/s,kB_ccwr/s,iodelay,cswch/s,nvcswch/s,threads,fd-nr
0,09:18:27 PM,0,358904,python3,43.00,3.00,0.00,0.00,46.00,5,12462.00,0.00,217648,54248,0.08,132,104,0.00,8.00,0.00,0,34.00,9.00,3,10
1,09:18:28 PM,0,358904,python3,2.00,0.00,0.00,0.00,2.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
2,09:18:29 PM,0,358904,python3,0.00,1.00,0.00,0.00,1.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
3,09:18:30 PM,0,358904,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,1.00,3,10
4,09:18:31 PM,0,358904,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
5,09:18:32 PM,0,358904,python3,0.00,1.00,0.00,0.00,1.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
6,09:18:33 PM,0,358904,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
7,09:18:34 PM,0,358904,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,1.00,3,10
8,09:18:35 PM,0,358904,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
9,09:18:36 PM,0,358904,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
10,09:18:37 PM,0,358904,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
11,09:18:38 PM,0,358904,python3,1.00,0.00,0.00,0.00,1.00,5,1.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
12,09:18:39 PM,0,358904,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
13,09:18:40 PM,0,358904,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,1.00,3,10
14,09:18:41 PM,0,358904,python3,0.00,1.00,0.00,0.00,1.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
15,09:18:42 PM,0,358904,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
16,09:18:43 PM,0,358904,python3,0.00,1.00,0.00,0.00,1.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
17,09:18:44 PM,0,358904,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
18,09:18:45 PM,0,358904,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,2.00,3,10
19,09:18:46 PM,0,358904,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
20,09:18:47 PM,0,358904,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
21,09:18:48 PM,0,358904,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,1.00,3,10
22,09:18:49 PM,0,358904,python3,0.00,1.00,0.00,0.00,1.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
23,09:18:50 PM,0,358904,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
24,09:18:51 PM,0,358904,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
25,09:18:52 PM,0,358904,python3,0.00,1.00,0.00,0.00,1.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
26,09:18:53 PM,0,358904,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
27,09:18:54 PM,0,358904,python3,0.00,1.00,0.00,0.00,1.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
28,09:18:55 PM,0,358904,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
29,09:18:56 PM,0,358904,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
30,09:18:57 PM,0,358904,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
31,09:18:58 PM,0,358904,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,1.00,3,10
32,09:18:59 PM,0,358904,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
33,09:19:00 PM,0,358904,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217648,54248,0.08,132,104,0.00,0.00,0.00,0,1.00,0.00,3,10
