,timestamp,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle,proc/s,cswch/s,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,kbanonpg,kbslab,kbkstack,kbpgtbl,kbvmused,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,total/s,dropd/s,squeezd/s,rx_rps/s,flw_lim/s,MHz
0,09:18:26 PM,1.0,23.36,0.0,3.74,0.0,0.0,0.0,0.47,0.0,0.0,72.43,75.94,98230.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44592108.0,56574804.0,7153440.0,10.96,85124.0,9314636.0,10626364.0,9.91,10332396.0,4274400.0,536.0,5225900.0,4148516.0,24704.0,56596.0,64652.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1518.0,6.53,5.01,3.63,0.0,25.94,0.0,0.0,0.0,0.0,2700.0
0,09:18:28 PM,1.0,3.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,95.02,0.0,96887.04,30.23,0.0,30.23,0.0,0.0,390.7,0.0,44592140.0,56574964.0,7153252.0,10.96,85124.0,9314776.0,10626364.0,9.91,10332624.0,4274512.0,148.0,5226116.0,4148532.0,24640.0,56536.0,64652.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1517.0,6.53,5.01,3.63,0.0,12.29,0.0,0.0,0.0,0.0,2700.0
0,09:18:32 PM,1.0,3.67,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,94.67,8.31,96965.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44590012.0,56572916.0,7155152.0,10.96,85124.0,9314896.0,10637692.0,9.92,10332916.0,4274592.0,296.0,5226480.0,4148640.0,24640.0,56536.0,64732.0,41943032.0,0.0,0.0,0.0,0.0,2.0,1517.0,6.89,5.11,3.67,0.0,13.62,0.0,0.0,0.0,0.0,2699.74
0,09:18:35 PM,1.0,2.95,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,95.41,0.0,96919.29,10.93,0.0,10.93,0.0,0.0,535.05,0.0,44590484.0,56573568.0,7154528.0,10.96,85124.0,9315016.0,10637692.0,9.92,10332880.0,4274740.0,176.0,5226404.0,4148672.0,24592.0,56536.0,64716.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,6.89,5.11,3.67,0.0,19.61,0.0,0.0,0.0,0.0,2699.99
0,09:18:38 PM,1.0,3.24,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0,95.15,0.0,97018.97,1.29,0.0,1.29,0.0,0.0,334.41,0.0,44592752.0,56575996.0,7152116.0,10.95,85124.0,9315160.0,10637692.0,9.92,10330372.0,4274900.0,332.0,5223848.0,4148672.0,24576.0,56540.0,64716.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,7.22,5.21,3.71,0.0,22.83,0.0,0.0,0.0,0.0,2700.0
0,09:18:41 PM,1.0,3.34,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.0,95.32,0.0,96727.91,1.0,0.0,1.0,0.0,0.0,16.28,0.0,44592752.0,56576120.0,7151976.0,10.95,85124.0,9315300.0,10637692.0,9.92,10330488.0,4275024.0,472.0,5224060.0,4148672.0,24576.0,56540.0,64716.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,7.52,5.31,3.75,0.0,11.3,0.0,0.0,0.0,0.0,2700.0
0,09:18:44 PM,1.0,2.35,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,96.64,0.0,84674.09,33.89,0.0,33.89,0.0,0.0,1558.47,0.0,44593004.0,56576504.0,7151604.0,10.95,85124.0,9315420.0,10637692.0,9.92,10330920.0,4275156.0,108.0,5224416.0,4148672.0,24576.0,56540.0,64716.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,7.52,5.31,3.75,0.0,20.6,0.0,0.0,0.0,0.0,2700.0
0,09:18:47 PM,1.0,3.64,0.0,1.99,0.0,0.0,0.0,0.0,0.0,0.0,94.37,0.0,50148.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44592752.0,56576312.0,7151716.0,10.95,85124.0,9315560.0,10637692.0,9.92,10331524.0,4275216.0,280.0,5225008.0,4148672.0,24576.0,56544.0,64716.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,7.8,5.4,3.79,0.0,12.62,0.0,0.0,0.0,0.0,2700.0
0,09:18:50 PM,1.0,3.36,0.0,2.01,0.0,0.0,0.0,0.0,0.0,0.0,94.63,2.33,50363.46,2.33,0.0,2.33,0.0,0.0,688.37,0.0,44591736.0,56575492.0,7152548.0,10.95,85124.0,9315736.0,10629584.0,9.91,10332160.0,4275408.0,456.0,5225576.0,4148680.0,24576.0,56544.0,64700.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,7.8,5.4,3.79,0.0,17.94,0.0,0.0,0.0,0.0,2700.0
0,09:18:53 PM,1.0,3.25,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0,95.13,0.0,59350.8,1.29,0.0,1.29,0.0,0.0,334.41,0.0,44592492.0,56576388.0,7151660.0,10.95,85124.0,9315868.0,10629584.0,9.91,10331072.0,4275548.0,588.0,5224540.0,4148680.0,24576.0,56544.0,64700.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,8.14,5.51,3.83,0.0,16.08,0.0,0.0,0.0,0.0,2700.0
0,09:18:56 PM,1.0,3.68,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.0,94.98,0.0,50100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44591484.0,56575452.0,7152544.0,10.95,85124.0,9315992.0,10629584.0,9.91,10332180.0,4275620.0,712.0,5225916.0,4148680.0,24576.0,56544.0,64700.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,8.37,5.6,3.87,0.0,13.62,0.0,0.0,0.0,0.0,2700.0
