,timestamp,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle,proc/s,cswch/s,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,kbanonpg,kbslab,kbkstack,kbpgtbl,kbvmused,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,total/s,dropd/s,squeezd/s,rx_rps/s,flw_lim/s,MHz
0,09:18:26 PM,2.0,17.24,0.0,2.16,0.0,0.0,0.0,0.0,0.0,0.0,80.6,65.52,97927.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44592124.0,56574820.0,7153416.0,10.96,85124.0,9314644.0,10626364.0,9.91,10332396.0,4274400.0,544.0,5225900.0,4148516.0,24704.0,56596.0,64652.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1518.0,6.53,5.01,3.63,0.0,16.38,0.0,0.0,0.0,0.0,2700.63
0,09:18:29 PM,2.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.34,0.0,96925.58,30.23,0.0,30.23,0.0,0.0,390.7,0.0,44591888.0,56574716.0,7153496.0,10.96,85124.0,9314784.0,10626364.0,9.91,10332800.0,4274516.0,160.0,5226312.0,4148532.0,24640.0,56536.0,64652.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1517.0,6.53,5.01,3.63,0.0,13.62,0.0,0.0,0.0,0.0,2700.19
0,09:18:32 PM,2.0,0.66,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,99.01,8.31,96960.13,0.66,0.0,0.66,0.0,0.0,172.76,0.0,44590012.0,56572936.0,7155148.0,10.96,85124.0,9314900.0,10637692.0,9.92,10333112.0,4274612.0,300.0,5226608.0,4148640.0,24640.0,56536.0,64732.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1517.0,6.89,5.11,3.67,0.0,18.94,0.0,0.0,0.0,0.0,2699.89
0,09:18:35 PM,2.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.68,0.0,96888.75,10.29,0.0,10.29,0.0,0.0,367.85,0.0,44591292.0,56574376.0,7153712.0,10.96,85124.0,9315024.0,10637692.0,9.92,10332132.0,4274740.0,188.0,5225856.0,4148672.0,24592.0,56536.0,64716.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,6.89,5.11,3.67,0.0,18.01,0.0,0.0,0.0,0.0,2700.0
0,09:18:38 PM,2.0,0.32,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,99.35,0.0,97052.73,1.29,0.0,1.29,0.0,0.0,334.41,0.0,44592752.0,56575996.0,7152108.0,10.95,85124.0,9315168.0,10637692.0,9.92,10330432.0,4274900.0,340.0,5223944.0,4148672.0,24576.0,56540.0,64716.0,41943032.0,0.0,0.0,0.0,0.0,3.0,1513.0,7.22,5.21,3.71,0.0,22.51,0.0,0.0,0.0,0.0,2700.0
0,09:18:41 PM,2.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.33,0.0,96755.15,1.0,0.0,1.0,0.0,0.0,16.28,0.0,44592500.0,56575876.0,7152220.0,10.95,85124.0,9315308.0,10637692.0,9.92,10330960.0,4275032.0,480.0,5224520.0,4148672.0,24576.0,56540.0,64716.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,7.52,5.31,3.75,0.0,14.95,0.0,0.0,0.0,0.0,2700.02
0,09:18:44 PM,2.0,0.66,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,81558.8,33.89,0.0,33.89,0.0,0.0,1558.47,0.0,44593004.0,56576512.0,7151596.0,10.95,85124.0,9315428.0,10637692.0,9.92,10331032.0,4275164.0,120.0,5224564.0,4148672.0,24576.0,56540.0,64716.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,7.52,5.31,3.75,0.0,24.25,0.0,0.0,0.0,0.0,2699.99
0,09:18:47 PM,2.0,0.99,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,98.68,0.0,50232.56,1.33,0.0,1.33,0.0,0.0,345.51,0.0,44592752.0,56576376.0,7151716.0,10.95,85124.0,9315560.0,10637692.0,9.92,10330896.0,4275280.0,276.0,5224380.0,4148672.0,24576.0,56544.0,64716.0,41943032.0,0.0,0.0,0.0,0.0,3.0,1513.0,7.8,5.4,3.79,0.0,24.92,0.0,0.0,0.0,0.0,2700.02
0,09:18:50 PM,2.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.67,2.33,50255.48,1.0,0.0,1.0,0.0,0.0,342.86,0.0,44591736.0,56575492.0,7152540.0,10.95,85124.0,9315744.0,10629584.0,9.91,10332220.0,4275408.0,464.0,5225604.0,4148680.0,24576.0,56544.0,64700.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,7.8,5.4,3.79,0.0,3.65,0.0,0.0,0.0,0.0,2700.0
0,09:18:53 PM,2.0,0.65,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,98.71,0.0,59325.72,1.29,0.0,1.29,0.0,0.0,334.41,0.0,44592492.0,56576388.0,7151648.0,10.95,85124.0,9315880.0,10629584.0,9.91,10331132.0,4275548.0,600.0,5224568.0,4148680.0,24576.0,56544.0,64700.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,8.14,5.51,3.83,0.0,1.29,0.0,0.0,0.0,0.0,2699.99
