,timestamp,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle,proc/s,cswch/s,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,kbanonpg,kbslab,kbkstack,kbpgtbl,kbvmused,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,total/s,dropd/s,squeezd/s,rx_rps/s,flw_lim/s,MHz
0,09:18:26 PM,3.0,17.46,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,81.35,56.35,97677.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44592132.0,56574836.0,7153408.0,10.96,85124.0,9314644.0,10626364.0,9.91,10332396.0,4274408.0,544.0,5225916.0,4148516.0,24704.0,56596.0,64652.0,41943032.0,0.0,0.0,0.0,0.0,2.0,1518.0,6.53,5.01,3.63,0.0,1.19,0.0,0.0,0.0,0.0,2700.0
0,09:18:29 PM,3.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.34,3.65,96956.15,30.23,0.0,30.23,0.0,0.0,390.7,0.0,44592428.0,56575264.0,7152896.0,10.95,85124.0,9314792.0,10625556.0,9.91,10333356.0,4274524.0,172.0,5226516.0,4148584.0,24736.0,56788.0,64700.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1520.0,6.53,5.01,3.63,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,09:18:32 PM,3.0,0.66,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,98.68,4.65,97017.94,11.3,0.0,11.3,0.0,0.0,552.82,0.0,44590012.0,56572976.0,7155148.0,10.96,85124.0,9314900.0,10637692.0,9.92,10333468.0,4274652.0,300.0,5226952.0,4148640.0,24640.0,56536.0,64732.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1517.0,6.89,5.11,3.67,0.0,0.0,0.0,0.0,0.0,0.0,2699.99
0,09:18:35 PM,3.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.68,0.0,96788.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44591492.0,56574604.0,7153484.0,10.96,85124.0,9315052.0,10637692.0,9.92,10332020.0,4274768.0,224.0,5225548.0,4148672.0,24576.0,56536.0,64716.0,41943032.0,0.0,0.0,0.0,0.0,2.0,1513.0,6.89,5.11,3.67,0.0,0.32,0.0,0.0,0.0,0.0,2699.99
0,09:18:38 PM,3.0,0.65,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,99.03,0.0,97052.73,1.29,0.0,1.29,0.0,0.0,334.41,0.0,44592752.0,56576004.0,7152108.0,10.95,85124.0,9315168.0,10637692.0,9.92,10330432.0,4274908.0,340.0,5223952.0,4148672.0,24576.0,56540.0,64716.0,41943032.0,0.0,0.0,0.0,0.0,2.0,1513.0,7.22,5.21,3.71,0.0,0.64,0.0,0.0,0.0,0.0,2700.0
0,09:18:41 PM,3.0,0.67,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,96760.47,1.0,0.0,1.0,0.0,0.0,16.28,0.0,44592500.0,56575884.0,7152220.0,10.95,85124.0,9315308.0,10637692.0,9.92,10331020.0,4275040.0,480.0,5224540.0,4148672.0,24576.0,56540.0,64716.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,7.52,5.31,3.75,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,09:18:44 PM,3.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,99.33,0.0,78421.59,33.89,0.0,33.89,0.0,0.0,1558.47,0.0,44593004.0,56576512.0,7151596.0,10.95,85124.0,9315428.0,10637692.0,9.92,10331092.0,4275164.0,120.0,5224580.0,4148672.0,24576.0,56540.0,64716.0,41943032.0,0.0,0.0,0.0,0.0,2.0,1513.0,7.52,5.31,3.75,0.0,0.0,0.0,0.0,0.0,0.0,2699.99
0,09:18:47 PM,3.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,99.33,0.0,50250.83,1.33,0.0,1.33,0.0,0.0,345.51,0.0,44592752.0,56576376.0,7151716.0,10.95,85124.0,9315560.0,10637692.0,9.92,10331300.0,4275280.0,276.0,5224784.0,4148672.0,24576.0,56544.0,64716.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,7.8,5.4,3.79,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,09:18:50 PM,3.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,99.34,2.33,51840.53,1.0,0.0,1.0,0.0,0.0,342.86,0.0,44591484.0,56575248.0,7152780.0,10.95,85124.0,9315756.0,10629584.0,9.91,10332220.0,4275416.0,476.0,5225812.0,4148680.0,24576.0,56544.0,64700.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,7.8,5.4,3.79,0.0,0.0,0.0,0.0,0.0,0.0,2699.99
0,09:18:53 PM,3.0,0.64,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,99.04,0.0,57789.71,1.29,0.0,1.29,0.0,0.0,334.41,0.0,44592240.0,56576164.0,7151892.0,10.95,85124.0,9315888.0,10629584.0,9.91,10331176.0,4275576.0,608.0,5224828.0,4148680.0,24576.0,56544.0,64700.0,41943032.0,0.0,0.0,0.0,0.0,4.0,1513.0,8.14,5.51,3.83,0.0,0.0,0.0,0.0,0.0,0.0,2701.23
0,09:18:56 PM,3.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.33,0.0,50114.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44592208.0,56576184.0,7151780.0,10.95,85124.0,9316032.0,10629584.0,9.91,10331440.0,4275628.0,752.0,5224884.0,4148680.0,24576.0,56544.0,64700.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,8.37,5.6,3.87,0.0,0.0,0.0,0.0,0.0,0.0,2699.39
0,09:18:59 PM,3.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.33,0.0,55019.6,11.63,0.0,11.63,0.0,0.0,576.74,0.0,44598068.0,56582232.0,7145872.0,10.94,85124.0,9316120.0,10629584.0,9.91,10324404.0,4275876.0,60.0,5217900.0,4148640.0,24448.0,56408.0,64588.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1505.0,8.37,5.6,3.87,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,09:19:02 PM,3.0,0.63,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,99.05,11.21,71138.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44594940.0,56579340.0,7148804.0,10.95,85124.0,9316292.0,10646120.0,9.93,10327164.0,4276052.0,284.0,5220652.0,4148664.0,24464.0,56428.0,64532.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1506.0,8.58,5.69,3.91,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,09:19:06 PM,3.0,0.65,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,99.03,34.73,52570.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44582004.0,56566552.0,7161184.0,10.97,85124.0,9316436.0,10712932.0,9.99,10333692.0,4276184.0,428.0,5227160.0,4149076.0,24640.0,56720.0,64796.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1515.0,8.85,5.8,3.95,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,09:19:09 PM,3.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.66,7.97,50339.2,7.64,0.0,7.64,0.0,0.0,356.15,0.0,44583484.0,56568140.0,7159172.0,10.96,85124.0,9316568.0,10710600.0,9.99,10333176.0,4276292.0,52.0,5226496.0,4149476.0,24592.0,56888.0,64748.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1515.0,8.85,5.8,3.95,0.0,0.0,0.0,0.0,0.0,0.0,2699.99
