,timestamp,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle,proc/s,cswch/s,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,kbanonpg,kbslab,kbkstack,kbpgtbl,kbvmused,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,total/s,dropd/s,squeezd/s,rx_rps/s,flw_lim/s,MHz
0,09:18:26 PM,4.0,15.07,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,83.09,48.34,97850.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44591612.0,56574332.0,7153904.0,10.96,85124.0,9314652.0,10626364.0,9.91,10332816.0,4274408.0,556.0,5226316.0,4148532.0,24704.0,56596.0,64652.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1518.0,6.53,5.01,3.63,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,09:18:29 PM,4.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,99.34,3.65,96862.13,30.23,0.0,30.23,0.0,0.0,390.7,0.0,44592452.0,56575296.0,7152872.0,10.95,85124.0,9314800.0,10625556.0,9.91,10333416.0,4274532.0,184.0,5226528.0,4148576.0,24736.0,56788.0,64700.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1520.0,6.53,5.01,3.63,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,09:18:32 PM,4.0,0.33,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,99.01,4.65,97020.27,11.3,0.0,11.3,0.0,0.0,552.82,0.0,44590012.0,56572984.0,7155140.0,10.96,85124.0,9314908.0,10637692.0,9.92,10333468.0,4274660.0,312.0,5226940.0,4148640.0,24640.0,56536.0,64732.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1517.0,6.89,5.11,3.67,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,09:18:35 PM,4.0,0.32,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,99.36,0.0,96775.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44591492.0,56574604.0,7153476.0,10.96,85124.0,9315060.0,10637692.0,9.92,10332020.0,4274768.0,232.0,5225552.0,4148672.0,24576.0,56536.0,64716.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,6.89,5.11,3.67,0.0,0.0,0.0,0.0,0.0,0.0,2700.02
0,09:18:38 PM,4.0,0.32,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,99.35,0.0,97096.46,1.29,0.0,1.29,0.0,0.0,334.41,0.0,44592752.0,56576004.0,7152100.0,10.95,85124.0,9315176.0,10637692.0,9.92,10330432.0,4274908.0,348.0,5223952.0,4148672.0,24576.0,56540.0,64716.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,7.22,5.21,3.71,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,09:18:41 PM,4.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,99.33,0.0,96738.21,1.0,0.0,1.0,0.0,0.0,16.28,0.0,44593256.0,56576640.0,7151456.0,10.95,85124.0,9315316.0,10637692.0,9.92,10330076.0,4275040.0,488.0,5223608.0,4148672.0,24576.0,56540.0,64716.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,7.52,5.31,3.75,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,09:18:44 PM,4.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.33,0.0,75322.59,33.89,0.0,33.89,0.0,0.0,1558.47,0.0,44593004.0,56576512.0,7151588.0,10.95,85124.0,9315436.0,10637692.0,9.92,10331092.0,4275164.0,132.0,5224596.0,4148672.0,24576.0,56540.0,64716.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,7.52,5.31,3.75,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,09:18:47 PM,4.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,99.33,0.0,50240.53,1.33,0.0,1.33,0.0,0.0,345.51,0.0,44592752.0,56576392.0,7151692.0,10.95,85124.0,9315584.0,10637692.0,9.92,10331656.0,4275296.0,304.0,5225156.0,4148672.0,24576.0,56544.0,64716.0,41943032.0,0.0,0.0,0.0,0.0,2.0,1513.0,7.8,5.4,3.79,0.0,0.0,0.0,0.0,0.0,0.0,2699.33
0,09:18:50 PM,4.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,99.33,2.33,53418.27,1.0,0.0,1.0,0.0,0.0,342.86,0.0,44591484.0,56575248.0,7152772.0,10.95,85124.0,9315764.0,10629584.0,9.91,10332220.0,4275416.0,484.0,5225812.0,4148680.0,24576.0,56544.0,64700.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,8.14,5.51,3.83,0.0,4.65,0.0,0.0,0.0,0.0,2700.0
0,09:18:53 PM,4.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.35,0.0,56331.19,1.29,0.0,1.29,0.0,0.0,334.41,0.0,44592240.0,56576164.0,7151880.0,10.95,85124.0,9315900.0,10629584.0,9.91,10331176.0,4275576.0,620.0,5224672.0,4148680.0,24576.0,56544.0,64700.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,8.14,5.51,3.83,0.0,0.0,0.0,0.0,0.0,0.0,2699.99
