,timestamp,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle,proc/s,cswch/s,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,kbanonpg,kbslab,kbkstack,kbpgtbl,kbvmused,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,total/s,dropd/s,squeezd/s,rx_rps/s,flw_lim/s,MHz
0,09:18:26 PM,5.0,15.75,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,82.53,42.61,97624.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44591612.0,56574332.0,7153904.0,10.96,85124.0,9314652.0,10626364.0,9.91,10332876.0,4274408.0,556.0,5226348.0,4148532.0,24704.0,56596.0,64652.0,41943032.0,0.0,0.0,0.0,0.0,2.0,1518.0,6.53,5.01,3.63,0.0,1.37,0.0,0.0,0.0,0.0,2700.0
0,09:18:29 PM,5.0,0.66,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,98.67,3.65,96853.16,30.23,0.0,30.23,0.0,0.0,390.7,0.0,44592452.0,56575296.0,7152872.0,10.95,85124.0,9314800.0,10625556.0,9.91,10333416.0,4274532.0,184.0,5226532.0,4148576.0,24736.0,56788.0,64700.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1520.0,6.53,5.01,3.63,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,09:18:32 PM,5.0,1.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,98.67,4.65,97010.96,11.3,0.0,11.3,0.0,0.0,552.82,0.0,44590012.0,56572984.0,7155132.0,10.96,85124.0,9314916.0,10637692.0,9.92,10333468.0,4274660.0,324.0,5227144.0,4148640.0,24640.0,56536.0,64732.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1517.0,6.89,5.11,3.67,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,09:18:35 PM,5.0,0.96,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,98.71,0.0,96883.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44590988.0,56574100.0,7153972.0,10.96,85124.0,9315068.0,10637692.0,9.92,10332440.0,4274768.0,240.0,5225956.0,4148672.0,24576.0,56536.0,64716.0,41943032.0,0.0,0.0,0.0,0.0,2.0,1513.0,7.22,5.21,3.71,0.0,0.0,0.0,0.0,0.0,0.0,2699.12
0,09:18:38 PM,5.0,0.65,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,98.71,0.0,97058.2,2.25,0.0,2.25,0.0,0.0,350.16,0.0,44592500.0,56575760.0,7152352.0,10.95,85124.0,9315176.0,10637692.0,9.92,10330664.0,4274916.0,348.0,5224132.0,4148672.0,24576.0,56540.0,64716.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,7.22,5.21,3.71,0.0,0.0,0.0,0.0,0.0,0.0,2699.19
0,09:18:42 PM,5.0,0.67,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,98.32,0.0,96762.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44593256.0,56576640.0,7151448.0,10.95,85124.0,9315324.0,10637692.0,9.92,10330076.0,4275040.0,496.0,5223656.0,4148672.0,24576.0,56540.0,64716.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,7.52,5.31,3.75,0.0,0.0,0.0,0.0,0.0,0.0,2699.2
0,09:18:45 PM,5.0,1.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,98.33,0.0,72175.75,33.89,0.0,33.89,0.0,0.0,1558.47,0.0,44593004.0,56576516.0,7151564.0,10.95,85124.0,9315460.0,10637692.0,9.92,10331328.0,4275168.0,160.0,5224788.0,4148672.0,24576.0,56540.0,64716.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,7.52,5.31,3.75,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,09:18:48 PM,5.0,0.67,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,98.67,0.0,50255.48,1.33,0.0,1.33,0.0,0.0,345.51,0.0,44592492.0,56576132.0,7151936.0,10.95,85124.0,9315592.0,10637692.0,9.92,10331836.0,4275296.0,312.0,5225340.0,4148680.0,24576.0,56544.0,64716.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,7.8,5.4,3.79,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,09:18:51 PM,5.0,0.67,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,98.67,2.33,54991.36,1.0,0.0,1.0,0.0,0.0,342.86,0.0,44592040.0,56575804.0,7152208.0,10.95,85124.0,9315772.0,10629584.0,9.91,10331592.0,4275416.0,492.0,5224840.0,4148680.0,24576.0,56544.0,64700.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,8.14,5.51,3.83,0.0,9.97,0.0,0.0,0.0,0.0,2700.0
0,09:18:54 PM,5.0,0.97,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,98.39,0.0,54757.88,1.29,0.0,1.29,0.0,0.0,334.41,0.0,44591988.0,56575912.0,7152124.0,10.95,85124.0,9315908.0,10629584.0,9.91,10331356.0,4275576.0,628.0,5224828.0,4148680.0,24576.0,56544.0,64700.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1513.0,8.14,5.51,3.83,0.0,20.9,0.0,0.0,0.0,0.0,2700.0
