359588 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 500) = 500
359588 write(8, "LOG_START_wsgi ,TS=1715874618.02"..., 38) = 38
359588 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
359588 write(8, "headers = \nHost: 10.5.30.76:8001"..., 259) = 259
359588 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 273) = 273
359588 write(8, "PID = \n358904\n", 14) = 14
359588 write(3, "INFO:werkzeug:PID = \n358904\n", 28) = 28
359588 write(8, "TID = \n359588\n", 14) = 14
359588 write(3, "INFO:werkzeug:TID = \n359588\n", 28) = 28
359588 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359588 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359588 write(8, "LOG_STOP_wsgi, TS=1715874618.022"..., 37) = 37
359588 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
359592 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 500) = 500
359592 write(8, "LOG_START_wsgi ,TS=1715874618.03"..., 38) = 38
359592 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
359592 write(8, "headers = \nHost: 10.5.30.76:8001"..., 259) = 259
359592 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 273) = 273
359592 write(8, "PID = \n358904\n", 14) = 14
359592 write(3, "INFO:werkzeug:PID = \n358904\n", 28) = 28
359592 write(8, "TID = \n359592\n", 14) = 14
359592 write(3, "INFO:werkzeug:TID = \n359592\n", 28) = 28
359592 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359592 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359592 write(8, "LOG_STOP_wsgi, TS=1715874618.033"..., 37) = 37
359592 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
359593 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 500) = 500
359593 write(8, "LOG_START_wsgi ,TS=1715874618.03"..., 38) = 38
359593 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
359593 write(8, "headers = \nHost: 10.5.30.76:8001"..., 259) = 259
359593 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 273) = 273
359593 write(8, "PID = \n358904\n", 14) = 14
359593 write(3, "INFO:werkzeug:PID = \n358904\n", 28) = 28
359593 write(8, "TID = \n359593\n", 14) = 14
359593 write(3, "INFO:werkzeug:TID = \n359593\n", 28) = 28
359593 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
359593 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
359593 write(8, "LOG_STOP_wsgi, TS=1715874618.038"..., 37) = 37
359593 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
359594 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 498) = 498
359594 write(8, "LOG_START_wsgi ,TS=1715874618.04"..., 36) = 36
359594 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 50) = 50
359594 write(8, "headers = \nHost: 10.5.30.76:8001"..., 259) = 259
359594 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 273) = 273
359594 write(8, "PID = \n358904\n", 14) = 14
359594 write(3, "INFO:werkzeug:PID = \n358904\n", 28) = 28
359594 write(8, "TID = \n359594\n", 14) = 14
