425578 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425578 write(8, "LOG_START_wsgi ,TS=1715882229.06"..., 38) = 38
425579 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425578 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425579 write(8, "LOG_START_wsgi ,TS=1715882229.06"..., 38) = 38
425579 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425580 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 364) = 364
425578 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425578 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425579 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425579 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425580 write(8, "LOG_START_wsgi ,TS=1715882229.07"..., 37) = 37
425580 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
425581 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425578 write(8, "PID = \n425109\n", 14) = 14
425578 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425579 write(8, "PID = \n425109\n", 14) = 14
425582 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425579 write(3, "INFO:werkzeug:PID = \n425109\n", 28 <unfinished ...>
425580 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425581 write(8, "LOG_START_wsgi ,TS=1715882229.07"..., 38) = 38
425580 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425583 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 364) = 364
425578 write(8, "TID = \n425578\n", 14) = 14
425581 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425578 write(3, "INFO:werkzeug:TID = \n425578\n", 28) = 28
425579 write(8, "TID = \n425579\n", 14) = 14
425579 write(3, "INFO:werkzeug:TID = \n425579\n", 28) = 28
425582 write(8, "LOG_START_wsgi ,TS=1715882229.07"..., 38) = 38
425582 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425580 write(8, "PID = \n425109\n", 14) = 14
425584 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425580 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425583 write(8, "LOG_START_wsgi ,TS=1715882229.07"..., 37) = 37
425585 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425583 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
425581 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425581 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425582 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425582 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425584 write(8, "LOG_START_wsgi ,TS=1715882229.07"..., 38) = 38
425584 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425586 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425580 write(8, "TID = \n425580\n", 14) = 14
425580 write(3, "INFO:werkzeug:TID = \n425580\n", 28) = 28
425585 write(8, "LOG_START_wsgi ,TS=1715882229.08"..., 38) = 38
425585 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425587 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425583 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425583 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425578 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425578 write(3, "INFO:werkzeug:post_data_form = \n"..., 55 <unfinished ...>
425581 write(8, "PID = \n425109\n", 14 <unfinished ...>
425581 write(3, "INFO:werkzeug:PID = \n425109\n", 28 <unfinished ...>
425579 write(8, "post_data_form = \nImmutableMulti"..., 41 <unfinished ...>
425579 write(3, "INFO:werkzeug:post_data_form = \n"..., 55 <unfinished ...>
425582 write(8, "PID = \n425109\n", 14 <unfinished ...>
425582 write(3, "INFO:werkzeug:PID = \n425109\n", 28 <unfinished ...>
425584 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146 <unfinished ...>
425584 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425586 write(8, "LOG_START_wsgi ,TS=1715882229.08"..., 38) = 38
425586 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52 <unfinished ...>
425580 write(8, "post_data_form = \nImmutableMulti"..., 41 <unfinished ...>
425580 write(3, "INFO:werkzeug:post_data_form = \n"..., 55 <unfinished ...>
425585 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146 <unfinished ...>
425585 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425587 write(8, "LOG_START_wsgi ,TS=1715882229.08"..., 38) = 38
425587 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52 <unfinished ...>
425583 write(8, "PID = \n425109\n", 14 <unfinished ...>
425583 write(3, "INFO:werkzeug:PID = \n425109\n", 28 <unfinished ...>
425578 write(8, "LOG_STOP_wsgi, TS=1715882229.068"..., 37 <unfinished ...>
425578 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51 <unfinished ...>
425581 write(8, "TID = \n425581\n", 14 <unfinished ...>
425578 write(1, "#*# REQ_SEND\n", 13)   = 13
425581 write(3, "INFO:werkzeug:TID = \n425581\n", 28) = 28
425579 write(8, "LOG_STOP_wsgi, TS=1715882229.069"..., 37) = 37
425579 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425578 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425581 write(8, "post_data_form = \nImmutableMulti"..., 41 <unfinished ...>
425579 write(1, "#*# REQ_SEND\n", 13 <unfinished ...>
425581 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425584 write(8, "PID = \n425109\n", 14) = 14
425579 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425584 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425586 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425586 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425580 write(8, "LOG_STOP_wsgi, TS=1715882229.071"..., 36) = 36
425580 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
425585 write(8, "PID = \n425109\n", 14) = 14
425580 write(1, "#*# REQ_SEND\n", 13)   = 13
425585 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425587 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425580 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425587 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425583 write(8, "TID = \n425583\n", 14) = 14
425583 write(3, "INFO:werkzeug:TID = \n425583\n", 28) = 28
425582 write(8, "TID = \n425582\n", 14) = 14
425582 write(3, "INFO:werkzeug:TID = \n425582\n", 28) = 28
425581 write(8, "LOG_STOP_wsgi, TS=1715882229.073"..., 37) = 37
425581 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425584 write(8, "TID = \n425584\n", 14) = 14
425581 write(1, "#*# REQ_SEND\n", 13)   = 13
425586 write(8, "PID = \n425109\n", 14) = 14
425584 write(3, "INFO:werkzeug:TID = \n425584\n", 28) = 28
425581 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425586 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425585 write(8, "TID = \n425585\n", 14) = 14
425585 write(3, "INFO:werkzeug:TID = \n425585\n", 28) = 28
425587 write(8, "PID = \n425109\n", 14) = 14
425587 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425583 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425583 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425582 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425582 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425584 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425584 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425586 write(8, "TID = \n425586\n", 14) = 14
425586 write(3, "INFO:werkzeug:TID = \n425586\n", 28) = 28
425585 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425579 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425580 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425587 write(8, "TID = \n425587\n", 14) = 14
425578 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425583 write(8, "LOG_STOP_wsgi, TS=1715882229.076"..., 36) = 36
425585 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425582 write(8, "LOG_STOP_wsgi, TS=1715882229.074"..., 37) = 37
425581 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425584 write(8, "LOG_STOP_wsgi, TS=1715882229.079"..., 37) = 37
425584 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425586 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425584 write(1, "#*# REQ_SEND\n", 13)   = 13
425585 write(8, "LOG_STOP_wsgi, TS=1715882229.081"..., 37) = 37
425583 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50 <unfinished ...>
425584 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425583 write(1, "#*# REQ_SEND\n", 13)   = 13
425582 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425583 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425582 write(1, "#*# REQ_SEND\n", 13)   = 13
425587 write(3, "INFO:werkzeug:TID = \n425587\n", 28) = 28
425582 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425587 write(8, "post_data_form = \nImmutableMulti"..., 41 <unfinished ...>
425586 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425585 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425586 write(8, "LOG_STOP_wsgi, TS=1715882229.084"..., 37) = 37
425585 write(1, "#*# REQ_SEND\n", 13 <unfinished ...>
425586 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51 <unfinished ...>
425585 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425586 write(1, "#*# REQ_SEND\n", 13)   = 13
425586 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425583 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425587 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425587 write(8, "LOG_STOP_wsgi, TS=1715882229.087"..., 37 <unfinished ...>
425582 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79 <unfinished ...>
425584 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425585 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425586 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425587 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425587 write(1, "#*# REQ_SEND\n", 13 <unfinished ...>
425587 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425587 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425580 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
425580 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425580 write(1, "*#* RES_REC\n", 12)    = 12
425580 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425580 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425580 write(21, "\"{}\"", 4)           = 4
425578 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
425580 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
425578 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425580 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425578 write(1, "*#* RES_REC\n", 12)    = 12
425579 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
425578 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425581 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
425579 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425578 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425579 write(1, "*#* RES_REC\n", 12)    = 12
425581 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425579 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425581 write(1, "*#* RES_REC\n", 12)    = 12
425580 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
425581 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425583 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
425578 write(20, "\"{}\"", 4)           = 4
425582 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89 <unfinished ...>
425583 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425579 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425583 write(1, "*#* RES_REC\n", 12)    = 12
425582 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425581 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425583 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425582 write(1, "*#* RES_REC\n", 12)    = 12
425584 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
425582 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425584 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425583 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425584 write(1, "*#* RES_REC\n", 12)    = 12
425584 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425579 write(20, "\"{}\"", 4)           = 4
425581 write(12, "\"{}\"", 4)           = 4
425578 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
425578 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425586 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
425582 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425583 write(21, "\"{}\"", 4)           = 4
425586 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425586 write(1, "*#* RES_REC\n", 12)    = 12
425584 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425586 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425581 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
425581 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425583 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
425583 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425582 write(12, "\"{}\"", 4)           = 4
425579 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
425579 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425584 write(20, "\"{}\"", 4)           = 4
425585 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
425585 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425587 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89 <unfinished ...>
425585 write(1, "*#* RES_REC\n", 12 <unfinished ...>
425585 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425586 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425587 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425578 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
425587 write(1, "*#* RES_REC\n", 12)    = 12
425581 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
425587 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425583 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
425579 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
