425588 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461 <unfinished ...>
425588 write(8, "LOG_START_wsgi ,TS=1715882229.10"..., 38) = 38
425588 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425588 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
425588 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
425589 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 460) = 460
425588 write(8, "PID = \n425129\n", 14) = 14
425588 write(3, "INFO:werkzeug:PID = \n425129\n", 28) = 28
425589 write(8, "LOG_START_wsgi ,TS=1715882229.10"..., 37) = 37
425589 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
425588 write(8, "TID = \n425588\n", 14) = 14
425590 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
425588 write(3, "INFO:werkzeug:TID = \n425588\n", 28) = 28
425589 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
425589 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
425590 write(8, "LOG_START_wsgi ,TS=1715882229.11"..., 38) = 38
425590 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425589 write(8, "PID = \n425129\n", 14) = 14
425591 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 461) = 461
425591 write(8, "LOG_START_wsgi ,TS=1715882229.11"..., 38) = 38
425589 write(3, "INFO:werkzeug:PID = \n425129\n", 28) = 28
425591 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425590 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222 <unfinished ...>
425590 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
425589 write(8, "TID = \n425589\n", 14) = 14
425589 write(3, "INFO:werkzeug:TID = \n425589\n", 28) = 28
425591 write(8, "headers = \nHost: 10.5.30.76:8003"..., 222) = 222
425591 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 236) = 236
425590 write(8, "PID = \n425129\n", 14) = 14
425590 write(3, "INFO:werkzeug:PID = \n425129\n", 28 <unfinished ...>
425588 write(8, "post_data_form = \nImmutableMulti"..., 41 <unfinished ...>
