,time,UID,PID,Command,%usr,%system,%guest,%wait,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,StkSize,StkRef,kB_rd/s,kB_wr/s,kB_ccwr/s,iodelay,cswch/s,nvcswch/s,threads,fd-nr
0,11:25:33 PM,0,425109,python3,46.00,5.00,0.00,0.00,51.00,1,12668.00,0.00,209728,51420,0.08,132,100,0.00,8.00,0.00,0,34.00,9.00,3,10
1,11:25:34 PM,0,425109,python3,3.00,1.00,0.00,0.00,4.00,1,128.00,0.00,209728,51420,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
2,11:25:35 PM,0,425109,python3,4.00,0.00,0.00,0.00,4.00,1,128.00,0.00,209728,51420,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
3,11:25:36 PM,0,425109,python3,3.00,2.00,0.00,0.00,5.00,1,128.00,0.00,209728,51420,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
4,11:25:37 PM,0,425109,python3,3.00,1.00,0.00,0.00,4.00,1,128.00,0.00,209728,51420,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
5,11:25:38 PM,0,425109,python3,3.00,1.00,0.00,0.00,4.00,1,128.00,0.00,209728,51420,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
6,11:25:39 PM,0,425109,python3,2.00,1.00,0.00,0.00,3.00,1,128.00,0.00,209728,51420,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
7,11:25:40 PM,0,425109,python3,3.00,2.00,0.00,0.00,5.00,1,128.00,0.00,209728,51420,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
8,11:25:41 PM,0,425109,python3,2.00,2.00,0.00,0.00,4.00,1,128.00,0.00,209728,51420,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
9,11:25:42 PM,0,425109,python3,2.00,1.00,0.00,0.00,3.00,1,128.00,0.00,209728,51420,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
10,11:25:43 PM,0,425109,python3,3.00,2.00,0.00,0.00,5.00,1,128.00,0.00,209728,51420,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
11,11:25:44 PM,0,425109,python3,4.00,0.00,0.00,0.00,4.00,1,128.00,0.00,209728,51420,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
12,11:25:45 PM,0,425109,python3,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,209728,51420,0.08,132,100,0.00,0.00,0.00,0,0.00,1.00,3,11
13,11:25:46 PM,0,425109,python3,3.00,1.00,0.00,0.00,4.00,1,128.00,0.00,209728,51420,0.08,132,100,0.00,0.00,0.00,0,1.00,4.00,3,10
14,11:25:47 PM,0,425109,python3,2.00,2.00,0.00,0.00,4.00,1,128.00,0.00,209728,51420,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
15,11:25:48 PM,0,425109,python3,2.00,2.00,0.00,0.00,4.00,1,128.00,0.00,209728,51420,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
16,11:25:49 PM,0,425109,python3,3.00,1.00,0.00,0.00,4.00,1,128.00,0.00,209728,51420,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
17,11:25:50 PM,0,425109,python3,3.00,1.00,0.00,0.00,4.00,1,128.00,0.00,209728,51420,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
18,11:25:51 PM,0,425109,python3,3.00,1.00,0.00,0.00,4.00,1,128.00,0.00,209728,51420,0.08,132,100,0.00,0.00,0.00,0,1.00,2.00,3,10
19,11:25:52 PM,0,425109,python3,3.00,1.00,0.00,0.00,4.00,1,128.00,0.00,209728,51420,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
20,11:25:53 PM,0,425109,python3,2.00,2.00,0.00,0.00,4.00,1,128.00,0.00,209728,51420,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
21,11:25:54 PM,0,425109,python3,3.00,1.00,0.00,0.00,4.00,1,128.00,0.00,209728,51420,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
22,11:25:55 PM,0,425109,python3,3.00,2.00,0.00,0.00,5.00,1,128.00,0.00,209728,51420,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
23,11:25:56 PM,0,425109,python3,3.00,0.00,0.00,0.00,3.00,1,128.00,0.00,209728,51420,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
24,11:25:57 PM,0,425109,python3,2.00,2.00,0.00,0.00,4.00,1,128.00,0.00,209728,51420,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
