,time,UID,PID,Command,%usr,%system,%guest,%wait,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,StkSize,StkRef,kB_rd/s,kB_wr/s,kB_ccwr/s,iodelay,cswch/s,nvcswch/s,threads,fd-nr
0,11:25:33 PM,0,425149,python3,41.00,5.00,0.00,0.00,46.00,5,12505.00,0.00,217644,53924,0.08,132,100,0.00,8.00,0.00,0,34.00,5.00,3,10
1,11:25:34 PM,0,425149,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
2,11:25:35 PM,0,425149,python3,1.00,1.00,0.00,0.00,2.00,5,1.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
3,11:25:36 PM,0,425149,python3,0.00,1.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
4,11:25:37 PM,0,425149,python3,2.00,0.00,0.00,0.00,2.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
5,11:25:38 PM,0,425149,python3,0.00,1.00,0.00,0.00,1.00,5,1.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
6,11:25:39 PM,0,425149,python3,2.00,0.00,0.00,0.00,2.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
7,11:25:40 PM,0,425149,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
8,11:25:41 PM,0,425149,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
9,11:25:42 PM,0,425149,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
10,11:25:43 PM,0,425149,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
11,11:25:44 PM,0,425149,python3,2.00,0.00,0.00,0.00,2.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
12,11:25:45 PM,0,425149,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
13,11:25:46 PM,0,425149,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
14,11:25:47 PM,0,425149,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
15,11:25:48 PM,0,425149,python3,0.00,1.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
16,11:25:49 PM,0,425149,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
17,11:25:50 PM,0,425149,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
18,11:25:51 PM,0,425149,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
19,11:25:52 PM,0,425149,python3,0.00,1.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
20,11:25:53 PM,0,425149,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
21,11:25:54 PM,0,425149,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
22,11:25:55 PM,0,425149,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
23,11:25:56 PM,0,425149,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
24,11:25:57 PM,0,425149,python3,0.00,1.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
25,11:25:58 PM,0,425149,python3,0.00,1.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
26,11:25:59 PM,0,425149,python3,2.00,0.00,0.00,0.00,2.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
27,11:26:00 PM,0,425149,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
28,11:26:01 PM,0,425149,python3,0.00,1.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
29,11:26:02 PM,0,425149,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
30,11:26:03 PM,0,425149,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
31,11:26:04 PM,0,425149,python3,0.00,0.00,0.00,0.00,0.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
32,11:26:05 PM,0,425149,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
33,11:26:06 PM,0,425149,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
34,11:26:07 PM,0,425149,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
35,11:26:08 PM,0,425149,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
36,11:26:09 PM,0,425149,python3,0.00,0.00,0.00,0.00,0.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,0.00,0.00,3,11
37,11:26:10 PM,0,425149,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
38,11:26:11 PM,0,425149,python3,2.00,0.00,0.00,0.00,2.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,4.00,3,10
39,11:26:12 PM,0,425149,python3,0.00,1.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
40,11:26:13 PM,0,425149,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
41,11:26:14 PM,0,425149,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
42,11:26:15 PM,0,425149,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
43,11:26:16 PM,0,425149,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
44,11:26:17 PM,0,425149,python3,0.00,1.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
45,11:26:18 PM,0,425149,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
46,11:26:19 PM,0,425149,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
47,11:26:20 PM,0,425149,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
48,11:26:21 PM,0,425149,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
49,11:26:22 PM,0,425149,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
50,11:26:23 PM,0,425149,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
51,11:26:24 PM,0,425149,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
52,11:26:25 PM,0,425149,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
53,11:26:26 PM,0,425149,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
54,11:26:27 PM,0,425149,python3,0.00,0.00,0.00,0.00,0.00,5,0.00,0.00,217644,53924,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
