,timestamp,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle,proc/s,cswch/s,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,kbanonpg,kbslab,kbkstack,kbpgtbl,kbvmused,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,total/s,dropd/s,squeezd/s,rx_rps/s,flw_lim/s,MHz
0,11:25:32 PM,1.0,13.53,0.0,1.93,0.0,0.0,0.0,0.0,0.0,0.0,84.54,40.0,97205.78,0.96,0.0,0.96,0.0,0.0,136.87,0.0,42857564.0,55608612.0,8228832.0,12.6,85124.0,9934968.0,11602428.0,10.82,11297780.0,5003580.0,1576.0,6299632.0,4187336.0,25392.0,61740.0,65484.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1564.0,16.51,16.78,17.06,0.0,15.9,0.0,0.0,0.0,0.0,2699.6
0,11:25:36 PM,1.0,2.59,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,96.12,0.0,83778.97,3.87,0.0,3.87,0.0,0.0,460.7,0.0,42859308.0,55610444.0,8226888.0,12.6,85124.0,9935168.0,11602428.0,10.82,11296348.0,5003668.0,568.0,6298408.0,4187336.0,25392.0,61740.0,65484.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1564.0,16.87,16.85,17.08,0.0,8.49,0.0,0.0,0.0,0.0,2700.06
0,11:25:42 PM,1.0,2.75,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,96.07,0.0,55758.12,1.76,0.0,1.76,0.0,0.0,318.2,0.0,42857576.0,55608904.0,8228388.0,12.6,85124.0,9935400.0,11602428.0,10.82,11297684.0,5003860.0,868.0,6300008.0,4187336.0,25392.0,61740.0,65484.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1564.0,17.2,16.92,17.1,0.0,13.7,0.0,0.0,0.0,0.0,2699.99
0,11:25:47 PM,1.0,2.8,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,95.8,0.0,50316.73,0.8,0.0,0.8,0.0,0.0,207.17,0.0,42858332.0,55609860.0,8227420.0,12.6,85124.0,9935612.0,11602428.0,10.82,11297324.0,5004060.0,1080.0,6299484.0,4187336.0,25392.0,61744.0,65484.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1564.0,17.5,16.98,17.12,0.0,18.92,0.0,0.0,0.0,0.0,2700.0
0,11:25:52 PM,1.0,2.5,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,96.15,1.34,61385.99,1.54,0.0,1.54,0.0,0.0,399.23,0.0,42855584.0,55607380.0,8229916.0,12.6,85124.0,9935856.0,11618944.0,10.83,11298184.0,5004320.0,1324.0,6300448.0,4187344.0,25392.0,61744.0,65436.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1564.0,17.78,17.05,17.14,0.0,23.42,0.0,0.0,0.0,0.0,2700.0
0,11:25:57 PM,1.0,2.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,95.8,0.0,50407.37,17.93,0.0,17.93,0.0,0.0,368.13,0.0,42855772.0,55607788.0,8229512.0,12.6,85124.0,9936072.0,11618944.0,10.83,11297644.0,5004540.0,1136.0,6299680.0,4187344.0,25392.0,61744.0,65436.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1564.0,18.04,17.12,17.16,0.0,26.49,0.0,0.0,0.0,0.0,2700.0
0,11:26:02 PM,1.0,2.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,96.01,0.0,50242.63,4.58,0.0,4.58,0.0,0.0,358.57,0.0,42856244.0,55608456.0,8228824.0,12.6,85124.0,9936288.0,11618944.0,10.83,11297592.0,5004736.0,1004.0,6299788.0,4187344.0,25392.0,61744.0,65436.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1564.0,18.28,17.18,17.18,0.0,25.1,0.0,0.0,0.0,0.0,2700.0
0,11:26:07 PM,1.0,2.88,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,95.97,3.26,61083.69,1.15,0.0,1.15,0.0,0.0,192.13,0.0,42853952.0,55606464.0,8230908.0,12.61,85124.0,9936504.0,11630348.0,10.85,11298544.0,5005036.0,980.0,6300848.0,4187336.0,25408.0,61776.0,65468.0,41943032.0,0.0,0.0,0.0,0.0,2.0,1565.0,18.58,17.26,17.21,0.0,17.85,0.0,0.0,0.0,0.0,2700.0
0,11:26:12 PM,1.0,1.84,0.0,3.27,0.0,0.0,0.0,0.0,0.0,0.0,94.89,9.36,103191.24,14.14,0.0,14.14,0.0,0.0,731.47,0.0,42864908.0,55603968.0,8233592.0,12.61,85124.0,9923000.0,11621672.0,10.84,11299960.0,4991584.0,596.0,6302152.0,4187200.0,25424.0,61804.0,65500.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1566.0,18.85,17.34,17.23,0.0,17.13,0.0,0.0,0.0,0.0,2700.0
0,11:26:17 PM,1.0,2.41,0.0,5.63,0.0,0.0,0.0,0.0,0.0,0.0,91.95,3.39,120852.3,31.94,0.0,31.94,0.0,0.0,7152.1,0.0,42846968.0,55603584.0,8234480.0,12.61,85124.0,9939976.0,11624404.0,10.84,11319976.0,4992172.0,16948.0,6304732.0,4187276.0,25456.0,61856.0,65484.0,41943032.0,0.0,0.0,0.0,0.0,2.0,1567.0,19.02,17.4,17.26,0.0,17.76,0.0,0.0,0.0,0.0,2700.0
