  ,timestamp   ,CPU ,%usr  ,%nice ,%sys  ,%iowait ,%steal ,%irq ,%soft ,%guest ,%gnice ,%idle  ,proc/s ,cswch/s   ,tps    ,rtps   ,wtps  ,dtps ,bread/s  ,bwrtn/s  ,bdscd/s ,kbmemfree  ,kbavail    ,kbmemused ,%memused ,kbbuffers ,kbcached   ,kbcommit   ,%commit ,kbactive   ,kbinact   ,kbdirty ,kbanonpg  ,kbslab    ,kbkstack ,kbpgtbl ,kbvmused ,kbswpfree  ,kbswpused ,%swpused ,kbswpcad ,%swpcad ,runq-sz ,plist-sz ,ldavg-1 ,ldavg-5 ,ldavg-15 ,blocked ,total/s ,dropd/s ,squeezd/s ,rx_rps/s ,flw_lim/s ,MHz
0 ,11:25:32 PM ,2.0 ,10.14 , 0.0  , 1.38 ,   0.0  ,   0.0 , 0.0 , 0.0  ,   0.0 ,   0.0 , 88.48 , 36.18 , 97350.69 ,  0.92 ,  0.0  , 0.92 , 0.0 ,    0.0  ,  130.88 ,    0.0 ,42857564.0 ,55608612.0 ,8228824.0 ,   12.6  ,  85124.0 , 9934976.0 ,11602428.0 ,  10.82 ,11297780.0 ,5003580.0 , 1584.0 ,6299632.0 ,4187336.0 , 25392.0 ,61740.0 , 65484.0 ,41943032.0 ,      0.0 ,     0.0 ,     0.0 ,    0.0 ,    1.0 ,  1564.0 ,  16.51 ,  16.78 ,   17.06 ,    0.0 ,   0.69 ,    0.0 ,      0.0 ,     0.0 ,      0.0 ,2700.0
0 ,11:25:36 PM ,2.0 , 0.0  , 0.0  , 0.0  ,   0.0  ,   0.0 , 0.0 , 0.0  ,   0.0 ,   0.0 ,100.0  ,  0.0  , 82035.06 ,  3.87 ,  0.0  , 3.87 , 0.0 ,    0.0  ,  460.7  ,    0.0 ,42859308.0 ,55610452.0 ,8226864.0 ,   12.6  ,  85124.0 , 9935192.0 ,11602428.0 ,  10.82 ,11296460.0 ,5003676.0 ,  596.0 ,6298744.0 ,4187336.0 , 25392.0 ,61740.0 , 65484.0 ,41943032.0 ,      0.0 ,     0.0 ,     0.0 ,    0.0 ,    1.0 ,  1564.0 ,  16.87 ,  16.85 ,   17.08 ,    0.0 ,   1.11 ,    0.0 ,      0.0 ,     0.0 ,      0.0 ,2710.03
0 ,11:25:42 PM ,2.0 , 0.0  , 0.0  , 0.2  ,   0.0  ,   0.0 , 0.0 , 0.0  ,   0.0 ,   0.0 , 99.8  ,  0.0  , 55755.77 ,  1.76 ,  0.0  , 1.76 , 0.0 ,    0.0  ,  318.2  ,    0.0 ,42857576.0 ,55608904.0 ,8228388.0 ,   12.6  ,  85124.0 , 9935400.0 ,11602428.0 ,  10.82 ,11297684.0 ,5003860.0 ,  868.0 ,6300016.0 ,4187336.0 , 25392.0 ,61740.0 , 65484.0 ,41943032.0 ,      0.0 ,     0.0 ,     0.0 ,    0.0 ,    1.0 ,  1564.0 ,  17.2  ,  16.92 ,   17.1  ,    0.0 ,   1.57 ,    0.0 ,      0.0 ,     0.0 ,      0.0 ,2700.0
0 ,11:25:47 PM ,2.0 , 0.2  , 0.0  , 0.0  ,   0.0  ,   0.0 , 0.0 , 0.0  ,   0.0 ,   0.0 , 99.8  ,  0.0  , 50331.08 ,  0.8  ,  0.0  , 0.8  , 0.0 ,    0.0  ,  207.17 ,    0.0 ,42858080.0 ,55609608.0 ,8227672.0 ,   12.6  ,  85124.0 , 9935612.0 ,11602428.0 ,  10.82 ,11297384.0 ,5004060.0 , 1080.0 ,6299536.0 ,4187336.0 , 25392.0 ,61744.0 , 65484.0 ,41943032.0 ,      0.0 ,     0.0 ,     0.0 ,    0.0 ,    1.0 ,  1564.0 ,  17.5  ,  16.98 ,   17.12 ,    0.0 ,   1.59 ,    0.0 ,      0.0 ,     0.0 ,      0.0 ,2699.94
0 ,11:25:52 PM ,2.0 , 0.0  , 0.0  , 0.19 ,   0.0  ,   0.0 , 0.0 , 0.0  ,   0.0 ,   0.0 , 99.81 ,  1.34 , 61414.97 ,  1.54 ,  0.0  , 1.54 , 0.0 ,    0.0  ,  399.23 ,    0.0 ,42856340.0 ,55608136.0 ,8229160.0 ,   12.6  ,  85124.0 , 9935856.0 ,11618944.0 ,  10.83 ,11297652.0 ,5004320.0 , 1324.0 ,6299916.0 ,4187344.0 , 25392.0 ,61744.0 , 65436.0 ,41943032.0 ,      0.0 ,     0.0 ,     0.0 ,    0.0 ,    1.0 ,  1564.0 ,  17.78 ,  17.05 ,   17.14 ,    0.0 ,   1.92 ,    0.0 ,      0.0 ,     0.0 ,      0.0 ,2700.0
0 ,11:25:57 PM ,2.0 , 0.2  , 0.0  , 0.0  ,   0.0  ,   0.0 , 0.0 , 0.0  ,   0.0 ,   0.0 , 99.8  ,  0.0  , 50363.15 , 17.93 ,  0.0  ,17.93 , 0.0 ,    0.0  ,  368.13 ,    0.0 ,42855772.0 ,55607788.0 ,8229504.0 ,   12.6  ,  85124.0 , 9936080.0 ,11618944.0 ,  10.83 ,11297644.0 ,5004540.0 , 1144.0 ,6299688.0 ,4187344.0 , 25392.0 ,61744.0 , 65436.0 ,41943032.0 ,      0.0 ,     0.0 ,     0.0 ,    0.0 ,    1.0 ,  1564.0 ,  18.04 ,  17.12 ,   17.16 ,    0.0 ,  14.74 ,    0.0 ,      0.0 ,     0.0 ,      0.0 ,2699.98
0 ,11:26:02 PM ,2.0 , 0.0  , 0.0  , 0.2  ,   0.0  ,   0.0 , 0.0 , 0.0  ,   0.0 ,   0.0 , 99.8  ,  0.0  , 50244.42 ,  4.58 ,  0.0  , 4.58 , 0.0 ,    0.0  ,  358.57 ,    0.0 ,42856244.0 ,55608456.0 ,8228824.0 ,   12.6  ,  85124.0 , 9936288.0 ,11618944.0 ,  10.83 ,11297592.0 ,5004736.0 , 1004.0 ,6299804.0 ,4187344.0 , 25392.0 ,61744.0 , 65436.0 ,41943032.0 ,      0.0 ,     0.0 ,     0.0 ,    0.0 ,    1.0 ,  1564.0 ,  18.28 ,  17.18 ,   17.18 ,    0.0 ,  10.76 ,    0.0 ,      0.0 ,     0.0 ,      0.0 ,2700.01
0 ,11:26:07 PM ,2.0 , 0.19 , 0.0  , 0.0  ,   0.0  ,   0.0 , 0.0 , 0.0  ,   0.0 ,   0.0 , 99.81 ,  4.8  , 61176.97 ,  1.15 ,  0.0  , 1.15 , 0.0 ,    0.0  ,  192.13 ,    0.0 ,42852124.0 ,55604636.0 ,8232724.0 ,   12.61 ,  85124.0 , 9936516.0 ,11627132.0 ,  10.84 ,11298664.0 ,5005036.0 ,  992.0 ,6301156.0 ,4187336.0 , 25312.0 ,61808.0 , 65484.0 ,41943032.0 ,      0.0 ,     0.0 ,     0.0 ,    0.0 ,    2.0 ,  1565.0 ,  18.58 ,  17.26 ,   17.21 ,    0.0 ,   1.15 ,    0.0 ,      0.0 ,     0.0 ,      0.0 ,2700.0
0 ,11:26:13 PM ,2.0 , 0.2  , 0.0  , 1.0  ,   0.0  ,   0.0 , 0.0 , 0.0  ,   0.0 ,   0.0 , 98.8  ,  7.77 ,103092.63 , 14.14 ,  0.0  ,14.14 , 0.0 ,    0.0  ,  731.47 ,    0.0 ,42864916.0 ,55603976.0 ,8233584.0 ,   12.61 ,  85124.0 , 9923000.0 ,11621672.0 ,  10.84 ,11299960.0 ,4991584.0 ,  596.0 ,6302152.0 ,4187200.0 , 25424.0 ,61804.0 , 65500.0 ,41943032.0 ,      0.0 ,     0.0 ,     0.0 ,    0.0 ,    1.0 ,  1566.0 ,  18.85 ,  17.34 ,   17.23 ,    0.0 ,   0.8  ,    0.0 ,      0.0 ,     0.0 ,      0.0 ,2700.0
0 ,11:26:18 PM ,2.0 , 0.2  , 0.0  , 0.2  ,   0.0  ,   0.0 , 0.0 , 0.0  ,   0.0 ,   0.0 , 99.6  ,  3.39 ,120875.65 , 31.94 ,  0.0  ,31.94 , 0.0 ,    0.0  , 7152.1  ,    0.0 ,42846968.0 ,55603296.0 ,8234176.0 ,   12.61 ,  85124.0 , 9940280.0 ,11624404.0 ,  10.84 ,11319248.0 ,4991836.0 ,17032.0 ,6304004.0 ,4187276.0 , 25456.0 ,61856.0 , 65484.0 ,41943032.0 ,      0.0 ,     0.0 ,     0.0 ,    0.0 ,    1.0 ,  1567.0 ,  19.02 ,  17.4  ,   17.26 ,    0.0 ,   2.0  ,    0.0 ,      0.0 ,     0.0 ,      0.0 ,2699.95
