,timestamp,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle,proc/s,cswch/s,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,kbanonpg,kbslab,kbkstack,kbpgtbl,kbvmused,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,total/s,dropd/s,squeezd/s,rx_rps/s,flw_lim/s,MHz
0,11:25:32 PM,3.0,9.25,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,89.65,32.38,97223.35,0.88,0.0,0.88,0.0,0.0,125.11,0.0,42857564.0,55608612.0,8228816.0,12.6,85124.0,9934984.0,11602428.0,10.82,11297780.0,5003580.0,1592.0,6299664.0,4187336.0,25392.0,61740.0,65484.0,41943032.0,0.0,0.0,0.0,0.0,2.0,1564.0,16.51,16.78,17.06,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,11:25:37 PM,3.0,0.37,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,99.26,0.0,80293.91,3.87,0.0,3.87,0.0,0.0,460.7,0.0,42859308.0,55610460.0,8226856.0,12.6,85124.0,9935200.0,11602428.0,10.82,11296520.0,5003684.0,608.0,6298764.0,4187336.0,25392.0,61740.0,65484.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1564.0,16.87,16.85,17.08,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,11:25:42 PM,3.0,0.59,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,99.22,0.0,55766.54,1.76,0.0,1.76,0.0,0.0,318.2,0.0,42857576.0,55608904.0,8228380.0,12.6,85124.0,9935408.0,11602428.0,10.82,11297744.0,5003860.0,876.0,6300032.0,4187336.0,25392.0,61740.0,65484.0,41943032.0,0.0,0.0,0.0,0.0,2.0,1564.0,17.2,16.92,17.1,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,11:25:47 PM,3.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,99.2,0.0,51280.08,0.8,0.0,0.8,0.0,0.0,207.17,0.0,42858080.0,55609608.0,8227664.0,12.6,85124.0,9935620.0,11602428.0,10.82,11297384.0,5004060.0,1088.0,6299536.0,4187336.0,25392.0,61744.0,65484.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1564.0,17.5,16.98,17.12,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,11:25:52 PM,3.0,0.38,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,99.04,1.34,60511.9,1.54,0.0,1.54,0.0,0.0,399.23,0.0,42855836.0,55607632.0,8229656.0,12.6,85124.0,9935864.0,11618944.0,10.83,11297772.0,5004320.0,1332.0,6300092.0,4187344.0,25392.0,61744.0,65436.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1564.0,17.78,17.05,17.14,0.0,1.73,0.0,0.0,0.0,0.0,2700.0
0,11:25:57 PM,3.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,50369.72,17.93,0.0,17.93,0.0,0.0,368.13,0.0,42855772.0,55607832.0,8229496.0,12.6,85124.0,9936088.0,11618944.0,10.83,11297764.0,5004584.0,1152.0,6299848.0,4187344.0,25392.0,61744.0,65436.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1564.0,18.04,17.12,17.16,0.0,0.2,0.0,0.0,0.0,0.0,2700.0
0,11:26:02 PM,3.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,50224.9,4.58,0.0,4.58,0.0,0.0,358.57,0.0,42855992.0,55608204.0,8229076.0,12.6,85124.0,9936288.0,11618944.0,10.83,11297712.0,5004736.0,1004.0,6299928.0,4187344.0,25392.0,61744.0,65436.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1564.0,18.28,17.18,17.18,0.0,0.8,0.0,0.0,0.0,0.0,2700.0
0,11:26:07 PM,3.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.42,4.8,61190.02,1.15,0.0,1.15,0.0,0.0,192.13,0.0,42852124.0,55604636.0,8232716.0,12.61,85124.0,9936524.0,11627132.0,10.84,11298664.0,5005036.0,1000.0,6301212.0,4187336.0,25312.0,61808.0,65484.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1565.0,18.58,17.26,17.21,0.0,1.73,0.0,0.0,0.0,0.0,2700.0
0,11:26:13 PM,3.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,99.2,7.77,103079.48,14.14,0.0,14.14,0.0,0.0,731.47,0.0,42864916.0,55603984.0,8233572.0,12.61,85124.0,9923012.0,11621672.0,10.84,11299960.0,4991592.0,612.0,6302212.0,4187200.0,25424.0,61804.0,65500.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1566.0,18.85,17.34,17.23,0.0,0.4,0.0,0.0,0.0,0.0,2700.0
0,11:26:18 PM,3.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,99.2,3.39,125563.07,31.94,0.0,31.94,0.0,0.0,7152.1,0.0,42846716.0,55603052.0,8234420.0,12.61,85124.0,9940288.0,11624404.0,10.84,11319420.0,4991844.0,17044.0,6304124.0,4187276.0,25456.0,61856.0,65484.0,41943032.0,0.0,0.0,0.0,0.0,2.0,1567.0,19.02,17.4,17.26,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
