,timestamp,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle,proc/s,cswch/s,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,kbanonpg,kbslab,kbkstack,kbpgtbl,kbvmused,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,total/s,dropd/s,squeezd/s,rx_rps/s,flw_lim/s,MHz
0,11:25:32 PM,4.0,9.32,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,89.62,28.9,97129.75,0.84,0.0,0.84,0.0,0.0,119.83,0.0,42857564.0,55608628.0,8228808.0,12.6,85124.0,9934992.0,11602428.0,10.82,11297780.0,5003596.0,1600.0,6299668.0,4187336.0,25392.0,61740.0,65484.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1564.0,16.51,16.78,17.06,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,11:25:37 PM,4.0,0.37,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,99.44,0.0,78559.41,3.87,0.0,3.87,0.0,0.0,460.7,0.0,42859308.0,55610460.0,8226848.0,12.6,85124.0,9935208.0,11602428.0,10.82,11296520.0,5003684.0,620.0,6298800.0,4187336.0,25392.0,61740.0,65484.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1564.0,16.87,16.85,17.08,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,11:25:42 PM,4.0,0.78,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,99.02,0.0,55781.21,1.76,0.0,1.76,0.0,0.0,318.2,0.0,42857576.0,55608908.0,8228372.0,12.6,85124.0,9935416.0,11602428.0,10.82,11297800.0,5003864.0,884.0,6300072.0,4187336.0,25392.0,61740.0,65484.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1564.0,17.2,16.92,17.1,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,11:25:47 PM,4.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,99.4,1.39,52252.79,0.8,0.0,0.8,0.0,0.0,207.17,0.0,42856560.0,55608108.0,8229184.0,12.6,85124.0,9935620.0,11618944.0,10.83,11297388.0,5004080.0,1088.0,6299492.0,4187336.0,25392.0,61724.0,65436.0,41943032.0,0.0,0.0,0.0,0.0,2.0,1564.0,17.5,16.98,17.12,0.0,0.0,0.0,0.0,0.0,0.0,2699.9
0,11:25:52 PM,4.0,0.58,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,99.23,0.0,59454.41,1.53,0.0,1.53,0.0,0.0,398.47,0.0,42855836.0,55607632.0,8229648.0,12.6,85124.0,9935872.0,11618944.0,10.83,11297772.0,5004320.0,1340.0,6300096.0,4187344.0,25392.0,61744.0,65436.0,41943032.0,0.0,0.0,0.0,0.0,2.0,1564.0,17.78,17.05,17.14,0.0,1.53,0.0,0.0,0.0,0.0,2700.0
0,11:25:58 PM,4.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,50484.63,17.96,0.0,17.96,0.0,0.0,368.86,0.0,42855268.0,55607328.0,8229992.0,12.6,85124.0,9936096.0,11618944.0,10.83,11298124.0,5004584.0,1160.0,6300228.0,4187344.0,25392.0,61744.0,65436.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1564.0,18.04,17.12,17.16,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,11:26:03 PM,4.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,50185.26,4.58,0.0,4.58,0.0,0.0,358.57,0.0,42855992.0,55608204.0,8229068.0,12.6,85124.0,9936296.0,11618944.0,10.83,11297772.0,5004736.0,1012.0,6299980.0,4187344.0,25392.0,61744.0,65436.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1564.0,18.28,17.18,17.18,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,11:26:08 PM,4.0,0.39,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,99.23,4.8,61204.03,1.15,0.0,1.15,0.0,0.0,192.13,0.0,42852440.0,55604972.0,8232392.0,12.61,85124.0,9936532.0,11627132.0,10.84,11298444.0,5005056.0,1008.0,6300696.0,4187336.0,25408.0,61776.0,65484.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1565.0,18.58,17.26,17.21,0.0,0.0,0.0,0.0,0.0,0.0,2689.15
0,11:26:13 PM,4.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,99.2,7.77,105552.59,14.14,0.0,14.14,0.0,0.0,731.47,0.0,42864916.0,55603984.0,8233572.0,12.61,85124.0,9923012.0,11621672.0,10.84,11299960.0,4991592.0,612.0,6302212.0,4187200.0,25424.0,61804.0,65500.0,41943032.0,0.0,0.0,0.0,0.0,2.0,1566.0,18.85,17.34,17.23,0.0,1.2,0.0,0.0,0.0,0.0,2700.0
0,11:26:18 PM,4.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,99.0,3.39,136004.79,31.94,0.0,31.94,0.0,0.0,7152.1,0.0,42846772.0,55603116.0,8234388.0,12.61,85124.0,9940312.0,11624404.0,10.84,11319132.0,4991852.0,17084.0,6304420.0,4187228.0,25440.0,61836.0,65484.0,41943032.0,0.0,0.0,0.0,0.0,2.0,1567.0,19.02,17.4,17.26,0.0,0.0,0.0,0.0,0.0,0.0,2700.01
0,11:26:23 PM,4.0,0.59,2.75,0.98,0.0,0.0,0.0,0.0,0.0,0.0,95.69,6.25,126590.62,93.95,93.95,0.0,0.0,19304.69,0.0,0.0,42874432.0,55613984.0,8223628.0,12.59,85124.0,9923588.0,11526436.0,10.75,11293612.0,4992072.0,1152.0,6295684.0,4187052.0,25376.0,61676.0,65468.0,41943032.0,0.0,0.0,0.0,0.0,0.0,1563.0,19.18,17.46,17.28,1.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,11:26:28 PM,4.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.4,2.39,120760.56,69.92,69.92,0.0,0.0,17504.38,0.0,0.0,42867580.0,55607300.0,8230384.0,12.61,85124.0,9923636.0,11568972.0,10.79,11299396.0,4992216.0,1492.0,6301464.0,4187100.0,25488.0,61792.0,65516.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1568.0,19.33,17.52,17.3,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,11:26:33 PM,4.0,0.58,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,99.03,0.38,126974.66,42.99,0.0,42.99,0.0,0.0,646.45,0.0,42866564.0,55606480.0,8231136.0,12.61,85124.0,9923900.0,11580664.0,10.8,11300448.0,4992416.0,116.0,6302852.0,4187100.0,25472.0,61832.0,65500.0,41943032.0,0.0,0.0,0.0,0.0,3.0,1569.0,19.54,17.6,17.32,0.0,0.0,0.0,0.0,0.0,0.0,2699.99
