,timestamp,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle,proc/s,cswch/s,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,kbanonpg,kbslab,kbkstack,kbpgtbl,kbvmused,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,total/s,dropd/s,squeezd/s,rx_rps/s,flw_lim/s,MHz
0,11:25:32 PM,5.0,9.15,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,89.26,25.65,97189.26,0.8,0.0,0.8,0.0,0.0,112.92,0.0,42857564.0,55608628.0,8228800.0,12.6,85124.0,9935000.0,11602428.0,10.82,11297780.0,5003596.0,1608.0,6299672.0,4187336.0,25392.0,61740.0,65484.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1564.0,16.51,16.78,17.06,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,11:25:37 PM,5.0,1.13,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,98.68,0.0,76472.74,3.95,0.0,3.95,0.0,0.0,469.36,0.0,42859088.0,55610240.0,8227060.0,12.6,85124.0,9935216.0,11602428.0,10.82,11296640.0,5003684.0,632.0,6298932.0,4187336.0,25392.0,61740.0,65484.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1564.0,16.87,16.85,17.08,0.0,0.0,0.0,0.0,0.0,0.0,2700.84
0,11:25:43 PM,5.0,0.98,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,98.82,0.0,55767.91,1.76,0.0,1.76,0.0,0.0,318.2,0.0,42857324.0,55608656.0,8228616.0,12.6,85124.0,9935424.0,11602428.0,10.82,11297920.0,5003864.0,892.0,6300200.0,4187336.0,25392.0,61740.0,65484.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1564.0,17.2,16.92,17.1,0.0,0.0,0.0,0.0,0.0,0.0,2698.76
0,11:25:48 PM,5.0,0.6,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,98.6,1.39,53187.85,0.8,0.0,0.8,0.0,0.0,207.17,0.0,42856560.0,55608108.0,8229184.0,12.6,85124.0,9935620.0,11618944.0,10.83,11297448.0,5004080.0,1088.0,6299924.0,4187336.0,25392.0,61724.0,65436.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1564.0,17.5,16.98,17.12,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,11:25:53 PM,5.0,0.96,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,98.65,0.0,58537.74,1.53,0.0,1.53,0.0,0.0,398.47,0.0,42855836.0,55607632.0,8229648.0,12.6,85124.0,9935872.0,11618944.0,10.83,11297772.0,5004320.0,1340.0,6300100.0,4187344.0,25392.0,61744.0,65436.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1564.0,17.78,17.05,17.14,0.0,13.03,0.0,0.0,0.0,0.0,2700.0
0,11:25:58 PM,5.0,0.6,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,98.6,0.0,50523.15,17.96,0.0,17.96,0.0,0.0,368.86,0.0,42855772.0,55607840.0,8229480.0,12.6,85124.0,9936104.0,11618944.0,10.83,11297888.0,5004592.0,1168.0,6300016.0,4187344.0,25392.0,61748.0,65436.0,41943032.0,0.0,0.0,0.0,0.0,2.0,1564.0,18.04,17.12,17.16,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
0,11:26:03 PM,5.0,0.8,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.0,98.4,0.0,50148.8,4.58,0.0,4.58,0.0,0.0,358.57,0.0,42855992.0,55608204.0,8229060.0,12.6,85124.0,9936304.0,11618944.0,10.83,11297832.0,5004736.0,1020.0,6300040.0,4187344.0,25392.0,61744.0,65436.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1564.0,18.28,17.18,17.18,0.0,8.96,0.0,0.0,0.0,0.0,2700.0
0,11:26:08 PM,5.0,1.15,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,98.47,4.8,61226.1,1.15,0.0,1.15,0.0,0.0,192.13,0.0,42852440.0,55604972.0,8232384.0,12.61,85124.0,9936540.0,11627132.0,10.84,11298444.0,5005056.0,1016.0,6300712.0,4187336.0,25408.0,61776.0,65484.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1565.0,18.58,17.26,17.21,0.0,19.77,0.0,0.0,0.0,0.0,2700.0
0,11:26:13 PM,5.0,0.6,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,98.61,7.77,120644.62,14.14,0.0,14.14,0.0,0.0,731.47,0.0,42864932.0,55604048.0,8233532.0,12.61,85124.0,9923052.0,11621672.0,10.84,11300100.0,4991640.0,664.0,6302476.0,4187184.0,25424.0,61804.0,65500.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1566.0,18.85,17.34,17.23,0.0,13.75,0.0,0.0,0.0,0.0,2700.66
0,11:26:18 PM,5.0,1.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,98.6,3.39,120633.67,31.87,0.0,31.87,0.0,0.0,7137.85,0.0,42846772.0,55603116.0,8234388.0,12.61,85124.0,9940312.0,11624404.0,10.84,11319132.0,4991852.0,17084.0,6304432.0,4187228.0,25424.0,61836.0,65484.0,41943032.0,0.0,0.0,0.0,0.0,1.0,1566.0,19.02,17.4,17.26,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
