425598 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 499 <unfinished ...>
425598 write(8, "LOG_START_wsgi ,TS=1715882229.13"..., 37) = 37
425598 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
425598 write(8, "headers = \nHost: 10.5.30.76:8001"..., 259) = 259
425598 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 273) = 273
425598 write(8, "PID = \n425149\n", 14) = 14
425599 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 500) = 500
425598 write(3, "INFO:werkzeug:PID = \n425149\n", 28) = 28
425598 write(8, "TID = \n425598\n", 14) = 14
425600 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 500) = 500
425598 write(3, "INFO:werkzeug:TID = \n425598\n", 28) = 28
425599 write(8, "LOG_START_wsgi ,TS=1715882229.13"..., 38) = 38
425599 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425600 write(8, "LOG_START_wsgi ,TS=1715882229.14"..., 38) = 38
425600 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425601 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 500) = 500
425599 write(8, "headers = \nHost: 10.5.30.76:8001"..., 259) = 259
425599 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 273) = 273
425600 write(8, "headers = \nHost: 10.5.30.76:8001"..., 259) = 259
425600 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 273) = 273
425601 write(8, "LOG_START_wsgi ,TS=1715882229.14"..., 38) = 38
425602 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 500) = 500
425601 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425599 write(8, "PID = \n425149\n", 14) = 14
425599 write(3, "INFO:werkzeug:PID = \n425149\n", 28) = 28
425600 write(8, "PID = \n425149\n", 14) = 14
425600 write(3, "INFO:werkzeug:PID = \n425149\n", 28) = 28
425603 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 498) = 498
425602 write(8, "LOG_START_wsgi ,TS=1715882229.14"..., 38) = 38
425602 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425601 write(8, "headers = \nHost: 10.5.30.76:8001"..., 259) = 259
425601 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 273 <unfinished ...>
425602 write(8, "headers = \nHost: 10.5.30.76:8001"..., 259 <unfinished ...>
425602 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 273 <unfinished ...>
425598 write(8, "post_data_form = \nImmutableMulti"..., 41 <unfinished ...>
425598 write(3, "INFO:werkzeug:post_data_form = \n"..., 55 <unfinished ...>
425600 write(8, "TID = \n425600\n", 14 <unfinished ...>
425600 write(3, "INFO:werkzeug:TID = \n425600\n", 28 <unfinished ...>
425603 write(8, "LOG_START_wsgi ,TS=1715882229.14"..., 36 <unfinished ...>
425603 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 50) = 50
425599 write(8, "TID = \n425599\n", 14) = 14
425599 write(3, "INFO:werkzeug:TID = \n425599\n", 28 <unfinished ...>
425601 write(8, "PID = \n425149\n", 14 <unfinished ...>
425601 write(3, "INFO:werkzeug:PID = \n425149\n", 28 <unfinished ...>
425602 write(8, "PID = \n425149\n", 14 <unfinished ...>
425602 write(3, "INFO:werkzeug:PID = \n425149\n", 28 <unfinished ...>
425598 write(8, "LOG_STOP_wsgi, TS=1715882229.137"..., 36) = 36
425598 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
425604 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 500) = 500
425600 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425598 write(3, "INFO:jaeger_tracing:Reporting sp"..., 112) = 112
425605 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 500) = 500
425603 write(8, "headers = \nHost: 10.5.30.76:8001"..., 259) = 259
425600 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425599 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425603 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 273) = 273
425606 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 499) = 499
425601 write(8, "TID = \n425601\n", 14) = 14
425599 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425602 write(8, "TID = \n425602\n", 14) = 14
425601 write(3, "INFO:werkzeug:TID = \n425601\n", 28) = 28
425604 write(8, "LOG_START_wsgi ,TS=1715882229.15"..., 38) = 38
425602 write(3, "INFO:werkzeug:TID = \n425602\n", 28) = 28
425607 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 499) = 499
425605 write(8, "LOG_START_wsgi ,TS=1715882229.15"..., 38) = 38
425604 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425598 write(8, "10.5.30.76 - - [16/May/2024 23:2"..., 72) = 72
425605 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425600 write(8, "LOG_STOP_wsgi, TS=1715882229.140"..., 37) = 37
425598 write(3, "INFO:werkzeug:10.5.30.76 - - [16"..., 86) = 86
425603 write(8, "PID = \n425149\n", 14) = 14
